c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
5,5,1,1,1.0,1.0,1.0,0.0,1,1.0,1,1.0,0.6513047714746811,54.4
5,5,2,1,0.0,0.0,,0.0,1,1.0,1,0.0,0.8069805415702817,54.4
5,10,-3,1,1.0,1.0,1.0,32710.0,2,0.5,1,1.0,0.5,54.4
5,10,-2,1,1.0,1.0,2.0,32374.0,2,0.5,1,1.0,0.5474102493833928,54.4
5,10,1,1,1.0,1.0,1.0,0.0,2,0.5,1,1.0,0.5,54.4
5,15,-2,1,1.0,1.0,2.0,28332.666666666668,1,1.0,1,1.0,0.6668860644575578,54.4
5,20,-2,1,0.0,0.0,-2.0,0.0,1,1.0,1,0.5896018316859329,0.6376612497905847,54.4
5,20,0,1,1.0,0.0,0.0,0.0,1,1.0,1,0.7332873087101599,0.5084340121965251,54.4
5,30,0,1,1.0,1.0,2.0,0.0,1,1.0,1,1.0,0.5198213046495489,54.4
5,30,1,1,1.0,1.0,3.0,0.0,1,1.0,1,0.8824643930484777,0.5592414739317915,54.4
5,45,0,2,0.9,0.5,1.0,560.0,2,1.0,2,0.8537641367751143,0.6022445779148041,54.4
5,45,1,1,1.0,1.0,3.0,0.0,2,0.5,1,0.7871238838448263,0.5014846337724704,54.4
5,60,-2,1,1.0,0.0,0.0,0.0,7,0.14285714285714285,1,1.0,0.3381066980669893,54.4
5,60,-1,2,1.0,0.0,0.0,44824.5,7,0.2857142857142857,2,1.0,0.46984311886355723,54.4
5,60,0,4,0.6875,0.3125,0.7777777777777778,27097.25,7,0.5714285714285714,4,0.8261481204480297,0.6177872071242443,54.4
5,60,1,2,0.5,0.5,3.0,9290.0,7,0.2857142857142857,2,0.7157295233078745,0.4988714461291496,54.4
5,60,6,1,1.0,1.0,7.0,0.0,7,0.14285714285714285,1,1.0,0.15204854563951037,54.4
5,60,8,1,1.0,1.0,8.0,3592.0,7,0.14285714285714285,1,1.0,0.14285714285714285,54.4
5,90,-2,1,1.0,0.0,0.0,87301.0,6,0.16666666666666666,1,0.7980104194736369,0.44854586464664603,54.4
5,90,-1,1,1.0,0.75,0.75,84604.75,6,0.16666666666666666,1,0.8596066801935383,0.34763886721120996,54.4
5,90,0,4,1.0,0.5,0.75,24634.705555555556,6,0.6666666666666666,4,1.0,0.5971650557078566,54.4
5,90,1,1,1.0,0.0,0.0,18547.0,6,0.16666666666666666,1,0.8577785443256294,0.4108278716798896,54.4
5,90,3,2,1.0,1.0,5.0,0.0,6,0.3333333333333333,2,1.0,0.29151897771354685,54.4
5,90,4,1,1.0,1.0,5.0,0.0,6,0.16666666666666666,1,1.0,0.20241150985040465,54.4
5,120,-1,1,1.0,0.0,0.0,0.0,4,0.25,1,1.0,0.4595393772543622,54.4
5,120,0,3,1.0,0.6666666666666666,1.3333333333333333,4918.166666666667,4,0.75,3,1.0,0.8359926947335546,54.4
5,120,1,1,1.0,1.0,1.0,15573.0,4,0.25,1,1.0,0.30276055918542094,54.4
5,120,2,2,1.0,1.0,3.5,1728.5,4,0.5,2,1.0,0.3693693693693693,54.4
5,120,4,1,1.0,1.0,7.0,0.0,4,0.25,1,1.0,0.25,54.4
5,180,-3,1,0.0,0.0,-1.0,0.0,7,0.14285714285714285,1,0.4436498150431566,0.1349348247313722,54.4
5,180,-2,2,1.0,0.5,0.5,5584.75,7,0.2857142857142857,2,0.6023557913203291,0.3112082082739115,54.4
5,180,-1,2,1.0,1.0,1.5,4376.5,7,0.2857142857142857,2,1.0,0.5166403920752914,54.4
5,180,0,7,1.0,0.5714285714285714,1.5714285714285714,3235.457142857143,7,1.0,7,1.0,0.7649916460182732,54.4
5,180,1,1,1.0,1.0,3.0,0.0,7,0.14285714285714285,1,1.0,0.5102307045152122,54.4
5,180,2,1,1.0,1.0,4.0,0.0,7,0.14285714285714285,1,1.0,0.1349348247313722,54.4
5,180,6,1,1.0,1.0,9.0,0.0,7,0.14285714285714285,1,1.0,0.1349348247313722,54.4
5,240,-1,2,1.0,1.0,1.5,3470.0,4,0.5,2,1.0,0.37778760916941134,54.4
5,240,0,4,1.0,0.75,2.0,2007.0,4,1.0,4,1.0,0.8977968930342828,54.4
5,240,1,1,1.0,1.0,1.0,0.0,4,0.25,1,1.0,0.35133981330252695,54.4
6,5,-1,1,0.0,0.0,-4.0,4653.0,2,0.5,1,0.309285829437369,0.6030952764791229,67.1
6,5,0,1,0.0,0.0,,0.0,2,0.5,1,0.4477768701131987,0.42537052164780015,67.1
6,7,0,1,1.0,1.0,1.0,0.0,2,0.5,1,0.690714170562631,0.6030952764791229,67.1
6,7,1,1,1.0,1.0,2.0,0.0,2,0.5,1,1.0,0.5588999372928425,67.1
6,7,3,1,1.0,1.0,4.0,4602.0,2,0.5,1,1.0,0.5,67.1
6,10,-1,1,1.0,1.0,1.0,0.0,2,0.5,1,1.0,0.3753396637701932,67.1
6,10,0,1,1.0,1.0,1.0,4519.0,2,0.5,1,0.45490258533736794,0.6298198580807276,67.1
6,10,1,1,1.0,1.0,2.0,3891.0,2,0.5,1,1.0,0.5,67.1
6,15,-2,2,1.0,1.0,2.5,12746.25,3,0.6666666666666666,2,0.8978418399495904,0.6918550462087797,67.1
6,15,-1,1,1.0,1.0,1.0,0.0,3,0.3333333333333333,1,1.0,0.3049287850522637,67.1
6,15,1,1,1.0,1.0,2.0,3757.0,3,0.3333333333333333,1,1.0,0.4364286098124563,67.1
6,20,-4,1,1.0,1.0,1.0,25117.0,1,1.0,1,1.0,0.6161912541886867,67.1
6,20,-3,1,1.0,1.0,2.0,25179.0,1,1.0,1,1.0,1.0,67.1
6,20,-2,1,1.0,1.0,3.0,25203.0,1,1.0,1,0.6231041735857412,0.639407885372681,67.1
6,30,-1,1,1.0,0.0,0.0,3623.0,2,0.5,1,1.0,0.38011319281811085,67.1
6,30,4,1,1.0,1.0,4.0,8921.0,2,0.5,1,1.0,0.3013907551733405,67.1
6,30,5,1,0.0,0.0,-1.0,8943.0,2,0.5,1,0.23237480963898594,0.3013907551733405,67.1
6,30,6,1,1.0,1.0,6.0,7981.0,2,0.5,1,0.6377358490566037,0.36415094339622645,67.1
6,30,7,1,1.0,1.0,7.0,7469.0,2,0.5,1,1.0,0.5,67.1
6,30,8,1,1.0,1.0,8.0,4143.0,2,0.5,1,1.0,0.36415094339622645,67.1
6,30,9,1,1.0,1.0,9.0,7257.0,2,0.5,1,1.0,0.5,67.1
6,45,-1,2,1.0,0.5,1.0,1811.0,5,0.4,2,0.777335547199297,0.549287121206836,67.1
6,45,0,2,0.8333333333333333,0.5,1.5,1182.0,5,0.4,2,0.8652759181675521,0.5611199206931942,67.1
6,45,2,1,1.0,0.0,0.9999999999999991,18534.0,5,0.2,1,0.7340720221606648,0.24558765334388602,67.1
6,45,3,1,1.0,1.0,1.9999999999999991,19293.666666666668,5,0.2,1,1.0,0.17602689567938218,67.1
6,45,5,1,1.0,1.0,7.0,0.0,5,0.2,1,1.0,0.2,67.1
6,60,-3,1,1.0,0.0,0.0,0.0,7,0.14285714285714285,1,0.6377358490566037,0.15148247978436655,67.1
6,60,0,3,0.6666666666666666,0.3333333333333333,0.6666666666666664,6863.333333333333,7,0.42857142857142855,3,0.8469184659706948,0.6136586315700965,67.1
6,60,1,1,0.0,0.0,,0.0,7,0.14285714285714285,1,0.6837670589535334,0.4926365308264861,67.1
6,60,2,1,1.0,1.0,6.0,0.0,7,0.14285714285714285,1,1.0,0.2664179104477612,67.1
6,60,3,1,1.0,1.0,4.0,3617.0,7,0.14285714285714285,1,1.0,0.16844439257789706,67.1
6,60,5,1,1.0,1.0,7.0,0.0,7,0.14285714285714285,1,1.0,0.15148247978436655,67.1
6,60,7,1,1.0,1.0,8.0,3603.0,7,0.14285714285714285,1,1.0,0.14285714285714285,67.1
6,90,-3,1,0.0,0.0,-1.0,0.0,5,0.2,1,0.6583640170384808,0.1761703016738754,67.1
6,90,-2,1,1.0,1.0,1.0,0.0,5,0.2,1,0.6761934877083738,0.4114780319246168,67.1
6,90,-1,2,1.0,1.0,2.0,0.0,5,0.4,2,0.8794268296515099,0.3282962865623205,67.1
6,90,0,3,1.0,0.6666666666666666,1.777777777777778,549.3333333333334,5,0.6,3,1.0,0.5834504371485874,67.1
6,90,1,3,0.6666666666666666,0.6666666666666666,0.9999999999999997,510.6666666666667,5,0.6,3,0.8419288632811766,0.38962198668604364,67.1
6,90,2,2,1.0,1.0,4.5,0.0,5,0.4,2,1.0,0.4447776870113198,67.1
6,90,3,1,1.0,1.0,4.0,0.0,5,0.2,1,1.0,0.2847027388109552,67.1
6,90,4,1,1.0,1.0,5.0,0.0,5,0.2,1,1.0,0.20429340688205935,67.1
6,90,5,1,1.0,1.0,6.0,0.0,5,0.2,1,1.0,0.2223888435056599,67.1
6,120,-2,1,1.0,1.0,1.0,0.0,5,0.2,1,1.0,0.24544727724971127,67.1
6,120,-1,3,1.0,0.6666666666666666,1.3333333333333333,0.0,5,0.6,3,1.0,0.4594979639711414,67.1
6,120,0,5,1.0,0.8,2.0,1527.84,5,1.0,5,1.0,0.8292386499402629,67.1
6,120,1,1,1.0,1.0,4.0,11463.09090909091,5,0.2,1,1.0,0.30351968376895777,67.1
6,120,2,1,1.0,1.0,3.0,0.0,5,0.2,1,1.0,0.3543857727139936,67.1
6,180,-2,1,0.0,0.0,-1.0,108357.0,5,0.2,1,0.5716765366550951,0.3111244493713352,67.1
6,180,-1,4,1.0,0.5,0.75,31026.8125,5,0.8,4,1.0,0.536582516929516,67.1
6,180,0,3,1.0,1.0,2.0,37422.208333333336,5,0.6,3,1.0,0.7684052066772654,67.1
6,180,1,3,1.0,1.0,2.8518518518518516,37406.11111111111,5,0.6,3,1.0,0.5667234005788586,67.1
6,240,-1,1,1.0,1.0,1.0,101999.0,3,0.3333333333333333,1,1.0,0.3688896422575229,67.1
6,240,0,3,1.0,1.0,1.3333333333333333,36910.555555555555,3,1.0,3,1.0,0.8844527618516944,67.1
6,240,1,1,1.0,1.0,3.0,102629.8,3,0.3333333333333333,1,1.0,0.3525488862988863,67.1
6,240,2,1,1.0,1.0,3.0,17414.0,3,0.3333333333333333,1,1.0,0.3333333333333333,67.1
7,2,0,1,1.0,1.0,2.0,26468.0,2,0.5,1,1.0,0.5,91.9
7,2,3,1,0.0,0.0,,0.0,2,0.5,1,0.0,0.5,91.9
7,3,-1,2,0.5,0.5,1.0,13758.5,3,0.6666666666666666,2,0.5,0.6666666666666666,91.9
7,3,3,1,1.0,0.0,0.0,0.0,3,0.3333333333333333,1,1.0,0.4037223865020003,91.9
7,5,-1,2,0.5,0.0,0.0,0.0,3,0.6666666666666666,2,0.3414558914250463,0.6138186304750154,91.9
7,5,0,1,1.0,1.0,2.0,25927.0,3,0.3333333333333333,1,0.5185011709601873,0.41358313817330206,91.9
7,5,1,1,1.0,1.0,3.0,25928.0,3,0.3333333333333333,1,1.0,0.599579488377526,91.9
7,7,-2,1,1.0,0.0,0.0,0.0,3,0.3333333333333333,1,0.6781548250265111,0.5455991516436903,91.9
7,7,-1,1,1.0,1.0,1.0,25715.0,3,0.3333333333333333,1,1.0,0.5672400312744332,91.9
7,7,0,2,0.5,0.5,2.0,12640.0,3,0.6666666666666666,2,0.6585441085749537,0.6138186304750154,91.9
7,7,1,1,1.0,0.0,0.9999999999999991,0.0,3,0.3333333333333333,1,1.0,0.5690189328743545,91.9
7,10,-2,1,1.0,0.0,0.0,1303.0,4,0.25,1,1.0,0.4762816464024423,91.9
7,10,-1,1,1.0,0.0,0.0,1461.0,4,0.25,1,1.0,0.3605565117613311,91.9
7,10,0,3,0.3333333333333333,0.3333333333333333,0.9999999999999996,27850.333333333332,4,0.75,3,0.4170736471967181,0.6371198801849318,91.9
7,10,3,1,1.0,1.0,5.0,24804.0,4,0.25,1,1.0,0.25,91.9
7,10,5,1,1.0,1.0,7.0,24918.0,4,0.25,1,1.0,0.25,91.9
7,15,-3,1,1.0,1.0,2.0,0.0,4,0.25,1,1.0,0.3377150117279124,91.9
7,15,-2,1,1.0,0.0,0.0,21828.0,4,0.25,1,0.8813376483279396,0.6832888135477131,91.9
7,15,-1,1,1.0,1.0,1.0,21163.0,4,0.25,1,1.0,0.3354425417137122,91.9
7,15,0,2,0.5,0.5,0.9999999999999996,10611.5,4,0.5,2,0.7594872537659327,0.6422605252993434,91.9
7,15,1,2,1.0,1.0,2.5,39475.25,4,0.5,2,1.0,0.4471519638083487,91.9
7,15,2,1,1.0,1.0,3.0,57782.0,4,0.25,1,1.0,0.25,91.9
7,20,-4,1,1.0,1.0,2.0,17965.0,7,0.14285714285714285,1,0.7810975609756098,0.48868031358885017,91.9
7,20,-2,1,1.0,0.0,0.0,1285.0,7,0.14285714285714285,1,0.7033346543622261,0.572260010837829,91.9
7,20,-1,5,0.6,0.4,0.9999999999999998,6376.6,7,0.7142857142857143,5,0.6203273473146637,0.6794388331748624,91.9
7,20,0,2,0.75,0.75,1.2499999999999998,9658.0,7,0.2857142857142857,2,0.5550638066793375,0.44832279585741447,91.9
7,20,1,1,1.0,1.0,6.0,0.0,7,0.14285714285714285,1,1.0,0.4645628007300481,91.9
7,20,2,1,1.0,1.0,4.0,18047.0,7,0.14285714285714285,1,1.0,0.18044929074053392,91.9
7,20,3,1,1.0,1.0,5.0,20492.0,7,0.14285714285714285,1,1.0,0.14285714285714285,91.9
7,30,-4,1,1.0,1.0,2.0,17872.0,8,0.125,1,0.4120858667328453,0.14649770442982998,91.9
7,30,-3,1,1.0,1.0,3.0,15491.5,8,0.125,1,0.6331397599690283,0.2794134727061557,91.9
7,30,-2,1,1.0,1.0,4.0,17240.0,8,0.125,1,0.8119198827552516,0.1946174618683168,91.9
7,30,-1,3,1.0,0.3333333333333333,1.3333333333333333,3704.0,8,0.375,3,0.9679761649896523,0.39834885463498176,91.9
7,30,0,2,1.0,1.0,1.0,6238.25,8,0.25,2,1.0,0.43357254379556814,91.9
7,30,1,3,0.8333333333333334,0.8333333333333334,2.0,3887.3333333333335,8,0.375,3,0.9016291469194313,0.4330149091627172,91.9
7,30,2,1,1.0,1.0,3.0,12031.0,8,0.125,1,0.32028160864114186,0.24752869129134916,91.9
7,30,4,1,1.0,1.0,6.0,0.0,8,0.125,1,1.0,0.2586385981604821,91.9
7,30,5,1,0.0,0.0,,8966.0,8,0.125,1,0.26506024096385544,0.2775817555938038,91.9
7,45,-2,1,0.0,0.0,-1.0,3903.0,7,0.14285714285714285,1,0.7724095394736842,0.24679972500696185,91.9
