c,n,med_dip,off_reach50,off_reach60,current_offset,cur_fill_pred,new_fill_pred
5,90,2.0,2,2,1,0.911,0.756
6,113,2.0,2,2,1,0.929,0.77
7,144,2.5,2,2,1,0.924,0.778
8,172,2.5,2,2,1,0.93,0.785
9,172,3.0,3,2,1,0.948,0.802
10,170,3.0,3,2,1,0.947,0.794
11,170,3.0,3,2,1,0.953,0.788
12,176,3.0,3,2,1,0.949,0.784
13,193,3.0,3,2,1,0.943,0.772
14,202,3.0,3,2,1,0.955,0.782
15,211,3.0,3,2,2,0.768,0.768
16,220,3.0,3,2,2,0.75,0.75
17,232,3.0,3,2,2,0.733,0.733
18,239,3.0,3,2,2,0.745,0.745
19,253,3.0,3,2,2,0.739,0.739
20,250,3.0,3,2,2,0.732,0.732
21,244,2.5,2,2,2,0.73,0.73
22,256,3.0,3,2,2,0.742,0.742
23,278,3.0,3,2,2,0.723,0.723
24,278,3.0,3,2,2,0.755,0.755
25,296,2.0,2,2,1,0.956,0.733
26,310,2.0,2,2,1,0.961,0.745
27,332,3.0,3,2,1,0.958,0.756
28,341,3.0,3,2,1,0.953,0.757
29,349,3.0,3,2,1,0.951,0.754
30,338,3.0,3,2,1,0.962,0.787
31,356,3.0,3,2,1,0.958,0.792
32,374,3.0,3,2,1,0.957,0.81
33,384,3.0,3,2,1,0.958,0.818
34,380,3.0,3,2,1,0.966,0.832
35,401,3.0,3,2,1,0.953,0.82
36,409,3.0,3,2,1,0.956,0.831
37,431,3.0,3,2,1,0.954,0.833
38,442,3.0,3,2,1,0.952,0.821
39,435,3.0,3,2,1,0.961,0.837
40,423,3.0,3,2,1,0.96,0.846
41,425,3.0,3,3,1,0.962,0.605
42,422,3.0,3,3,1,0.972,0.614
43,422,3.0,3,3,1,0.972,0.604
44,418,3.0,3,3,1,0.976,0.617
45,405,3.0,3,3,2,0.884,0.649
46,384,3.0,3,3,2,0.885,0.659
47,387,3.0,3,3,2,0.873,0.669
48,365,4.0,4,3,2,0.877,0.679
49,353,4.0,4,3,2,0.875,0.688
50,337,4.0,4,3,2,0.869,0.688
51,326,4.0,4,3,2,0.847,0.666
52,323,3.0,3,3,2,0.833,0.65
53,360,4.0,4,3,2,0.833,0.658
54,368,4.0,4,3,2,0.845,0.649
55,398,4.0,4,3,2,0.852,0.653
56,415,3.0,3,3,2,0.855,0.667
57,423,3.0,3,3,2,0.868,0.667
58,443,3.0,3,3,2,0.869,0.677
59,461,3.0,3,3,2,0.87,0.672
60,456,3.0,3,3,2,0.864,0.68
61,466,3.0,3,3,2,0.861,0.68
62,480,4.0,4,3,2,0.86,0.69
63,471,4.0,4,3,2,0.862,0.675
64,478,4.0,4,3,2,0.866,0.692
65,469,4.0,4,3,1,0.974,0.687
66,451,4.0,4,3,1,0.982,0.696
67,426,4.0,4,3,1,0.981,0.69
68,411,4.0,4,3,1,0.983,0.691
69,382,4.0,4,3,1,0.982,0.67
70,384,4.0,4,3,1,0.984,0.695
71,379,4.0,4,3,1,0.989,0.683
72,372,4.0,4,3,1,0.995,0.699
73,376,4.0,4,3,1,0.992,0.702
74,382,4.0,4,3,1,0.992,0.715
75,371,4.0,4,3,7,0.364,0.725
76,356,4.0,4,3,7,0.354,0.744
77,344,4.0,4,3,7,0.363,0.724
78,321,4.0,4,3,7,0.377,0.726
79,306,4.0,4,3,7,0.389,0.719
80,296,4.0,4,3,7,0.392,0.706
81,285,4.0,4,3,7,0.382,0.691
82,272,4.0,4,3,7,0.408,0.695
83,273,4.0,4,3,7,0.443,0.685
84,251,5.0,5,3,7,0.486,0.705
85,239,6.0,6,3,1,0.983,0.715
86,226,8.0,8,3,1,0.982,0.726
87,203,11.0,8,4,1,0.985,0.616
88,189,13.0,8,4,1,0.989,0.603
89,177,12.0,8,3,1,0.994,0.746
90,169,13.0,8,5,1,0.982,0.604
91,165,13.0,8,6,1,0.976,0.6
92,141,15.0,8,6,1,0.972,0.603
93,117,13.0,8,5,1,0.974,0.598
94,98,13.0,8,4,1,0.969,0.612
