c,X,target,N,fill,roi_on_cost,score,miss,comeback_of_miss,mc_partner_at_entry,mc_bid_sum,band,W,xpos,ypos
5,1,6,65,0.9692307692307692,0.19384615384615386,0.18788165680473373,0.03076923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-46.5,5
5,2,7,65,0.9692307692307692,0.3876923076923077,0.37576331360946746,0.03076923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-45.5,5
5,3,8,65,0.9076923076923077,0.5446153846153846,0.4943431952662722,0.09230769230769231,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-44.5,5
5,4,9,65,0.9076923076923077,0.7261538461538461,0.6591242603550296,0.09230769230769231,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-43.5,5
5,5,10,65,0.8307692307692308,0.8307692307692308,0.6901775147928995,0.16923076923076918,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-42.5,5
5,6,11,65,0.8,0.96,0.768,0.19999999999999996,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-41.5,5
5,7,12,65,0.8,1.1199999999999999,0.8959999999999999,0.19999999999999996,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-40.5,5
5,8,13,65,0.7846153846153846,1.2553846153846155,0.9849940828402368,0.2153846153846154,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-39.5,5
5,9,14,65,0.7846153846153846,1.4123076923076923,1.1081183431952661,0.2153846153846154,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-38.5,5
5,10,15,65,0.7692307692307693,1.5384615384615385,1.183431952662722,0.23076923076923073,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-37.5,5
5,11,16,65,0.7692307692307693,1.6923076923076925,1.3017751479289943,0.23076923076923073,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-36.5,5
5,12,17,65,0.7692307692307693,1.8461538461538463,1.4201183431952664,0.23076923076923073,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-35.5,5
5,13,18,65,0.7692307692307693,2.0,1.5384615384615385,0.23076923076923073,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-34.5,5
5,14,19,65,0.5692307692307692,1.5938461538461537,0.907266272189349,0.4307692307692308,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-33.5,5
5,15,20,65,0.5692307692307692,1.7076923076923076,0.9720710059171597,0.4307692307692308,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-32.5,5
5,16,21,65,0.49230769230769234,1.5753846153846156,0.7755739644970415,0.5076923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-31.5,5
5,17,22,65,0.49230769230769234,1.673846153846154,0.8240473372781066,0.5076923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-30.5,5
5,18,23,65,0.49230769230769234,1.7723076923076924,0.8725207100591716,0.5076923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-29.5,5
5,19,24,65,0.4,1.52,0.6080000000000001,0.6,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-28.5,5
5,20,25,65,0.4,1.6,0.6400000000000001,0.6,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-27.5,5
5,21,26,65,0.4,1.6800000000000002,0.6720000000000002,0.6,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-26.5,5
5,22,27,65,0.4,1.7600000000000002,0.7040000000000002,0.6,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-25.5,5
5,23,28,65,0.4,1.8399999999999999,0.736,0.6,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-24.5,5
5,24,29,65,0.36923076923076925,1.7723076923076924,0.6543905325443787,0.6307692307692307,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-23.5,5
5,25,30,65,0.36923076923076925,1.8461538461538463,0.6816568047337279,0.6307692307692307,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-22.5,5
5,26,31,65,0.36923076923076925,1.9200000000000002,0.708923076923077,0.6307692307692307,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-21.5,5
5,27,32,65,0.36923076923076925,1.993846153846154,0.7361893491124262,0.6307692307692307,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-20.5,5
5,28,33,65,0.36923076923076925,2.0676923076923077,0.7634556213017752,0.6307692307692307,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-19.5,5
5,29,34,65,0.3230769230769231,1.873846153846154,0.6053964497041421,0.676923076923077,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-18.5,5
5,30,35,65,0.13846153846153847,0.8307692307692308,0.11502958579881659,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-17.5,5
5,31,36,65,0.13846153846153847,0.8584615384615385,0.1188639053254438,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-16.5,5
5,32,37,65,0.13846153846153847,0.8861538461538463,0.12269822485207103,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-15.5,5
5,33,38,65,0.13846153846153847,0.9138461538461539,0.12653254437869824,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-14.5,5
5,34,39,65,0.13846153846153847,0.9415384615384615,0.13036686390532545,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-13.5,5
5,35,40,65,0.13846153846153847,0.9692307692307693,0.1342011834319527,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-12.5,5
5,36,41,65,0.13846153846153847,0.996923076923077,0.13803550295857991,0.8615384615384616,1.0,82.26153254508972,0.8726154565811157,deep-underdog,94,-11.5,5
