code,source,bell_epoch,bell_minus_w1_right_s,w1_right,violent_class,receipts_or_reason
26JUL12OUAFER,BELL_UNRESOLVED,,,1783884600,False,no sustained mirrored repricing regime found in the tape (quiet or capture-ended market)
26JUL12PALCOL,TAPE_SIGNATURE,1783853280.0,-9720,1783863000,True,84
26JUL12PALMAR,TAPE_SIGNATURE,1783882440.0,-6360,1783888800,False,242
26JUL12PANYOR,TAPE_SIGNATURE,1783854300.0,-11100,1783865400,False,103
26JUL12PASKAS,TAPE_SIGNATURE,1783851780.0,900,1783850880,False,284
26JUL12PEAKIR,TAPE_SIGNATURE,1783889700.0,-480,1783890180,False,97
26JUL12PIETAB,TAPE_SIGNATURE,1783856760.0,-2400,1783859160,False,119
26JUL12POLKUH,MACHINE_RECEIPT,1783879200,0,1783879200,False,6
26JUL12POLVIN,TAPE_SIGNATURE,1783856820.0,-3360,1783860180,False,225
26JUL12PRASAI,TAPE_SIGNATURE,1783868220.0,-10980,1783879200,True,303
26JUL12PRIBAL,TAPE_SIGNATURE,1783851900.0,-6300,1783858200,False,158
26JUL12PRIION,TAPE_SIGNATURE,1783848540.0,-180,1783848720,False,263
26JUL12RAFAGU,TAPE_SIGNATURE,1783869000.0,-10200,1783879200,True,184
26JUL12RAIZHU,TAPE_SIGNATURE,1783892340.0,-240,1783892580,False,443
26JUL12RAQKUM,TAPE_SIGNATURE,1783848120.0,-5880,1783854000,False,118
26JUL12REJMID,TAPE_SIGNATURE,1783852260.0,-180,1783852440,False,351
26JUL12ROMTOD,TAPE_SIGNATURE,1783838940.0,-11460,1783850400,False,830
26JUL12ROUGAN,TAPE_SIGNATURE,1783867080.0,-8520,1783875600,True,332
26JUL12ROUJAK,TAPE_SIGNATURE,1783861980.0,-10020,1783872000,False,231
26JUL12SAIETO,BELL_UNRESOLVED,,,1783869600,False,no sustained mirrored repricing regime found in the tape (quiet or capture-ended market)
26JUL12SALARN,TAPE_SIGNATURE,1783867200.0,300,1783866900,False,253
26JUL12SANSCH,MACHINE_RECEIPT,1783956600,0,1783956600,False,16707
26JUL12SESMER,MACHINE_RECEIPT,1784045400,0,1784045400,False,6
26JUL12SHEVAN,TAPE_SIGNATURE,1783863120.0,-5760,1783868880,True,244
26JUL12SHITUR,TAPE_SIGNATURE,1783852620.0,-8580,1783861200,False,267
26JUL12SIAIVA,TAPE_SIGNATURE,1783887120.0,-3540,1783890660,False,436
26JUL12SKASAC,TAPE_SIGNATURE,1783854120.0,-8880,1783863000,True,334
26JUL12SLADAM,TAPE_SIGNATURE,1783867080.0,6540,1783860540,False,360
26JUL12SOKNUG,MACHINE_RECEIPT,1783864500,0,1783864500,False,46
26JUL12SONSCH,TAPE_SIGNATURE,1783915260.0,-16168,1783931427.533,False,149
26JUL12STRMUN,MACHINE_RECEIPT,1783956900,0,1783956900,False,3
26JUL12SVRDIM,TAPE_SIGNATURE,1784025960.0,68132,1783957828.072,False,497
26JUL12TABHUE,TAPE_SIGNATURE,1783829100.0,-24900,1783854000,True,92
26JUL12TAGSIE,TAPE_SIGNATURE,1783864140.0,-11460,1783875600,False,249
26JUL12TOKROZ,TAPE_SIGNATURE,1783889040.0,1560,1783887480,False,463
26JUL12TROHOR,TAPE_SIGNATURE,1783870320.0,-9480,1783879800,False,304
26JUL12TSIBUS,MACHINE_RECEIPT,1784037000,0,1784037000,False,4
26JUL12VALNIJ,TAPE_SIGNATURE,1783862820.0,420,1783862400,False,196
26JUL12VANCHO,TAPE_SIGNATURE,1783879380.0,-360,1783879740,False,743
26JUL12VILRAH,TAPE_SIGNATURE,1783843680.0,-10320,1783854000,True,149
26JUL12VOLMAR,MACHINE_RECEIPT,1783875900,0,1783875900,False,4
26JUL12WERAMA,TAPE_SIGNATURE,1783845900.0,-1020,1783846920,False,248
26JUL12WESPAA,MACHINE_RECEIPT,1783869300,0,1783869300,False,15
26JUL12WESSEL,BELL_UNRESOLVED,,,1783854000,False,no sustained mirrored repricing regime found in the tape (quiet or capture-ended market)
26JUL12WINROB,MACHINE_RECEIPT,1783876500,0,1783876500,False,506
26JUL12YEVBOR,TAPE_SIGNATURE,1783857420.0,60,1783857360,False,384
26JUL12YIBMAL,TAPE_SIGNATURE,1783893540.0,2880,1783890660,False,622
26JUL12YOUDLI,TAPE_SIGNATURE,1783895460.0,2400,1783893060,False,1651
