code,event_id,category,recorder_open_epoch,w1_left_epoch,w1_right_epoch,scheduled_start_epoch,legA,legB,legA_formation_end_epoch,legA_open_postformation_c,legA_floor_c,legA_floor_epoch,legA_close_c,legA_close_epoch,legA_contracts,legA_premium_usd,legA_journey,legA_net_travel_c,legA_us_first_post_epoch,legA_us_fill_c,legA_us_fill_epoch,legA_us_fill_stamp,legB_formation_end_epoch,legB_open_postformation_c,legB_floor_c,legB_floor_epoch,legB_close_c,legB_close_epoch,legB_contracts,legB_premium_usd,legB_journey,legB_net_travel_c,legB_us_first_post_epoch,legB_us_fill_c,legB_us_fill_epoch,legB_us_fill_stamp,formation_end_game,bell_machine_epoch,bell_observed_inplay_epoch,bell_tape_signature_epoch,kalshi_close_time_epoch,bell_epoch,bell_source,bell_precision,span_start_epoch,span_end_epoch,verified_span,pair_state,locked_delta_valid_fills_c
26JUL12ALTGAS,KXATPMATCH-26JUL12ALTGAS,ATP_MAIN,1783777733,1783777733,1784035200,1783854000.0,ALT,GAS,1783790234,57.0,58,1783833446.5,65,1784035191.2,26863.91,16855.19,MOVER,8.0,1783862363,,,,1783790234,43.0,38,1784009667.7,38,1784035157.2,9760.39,3821.17,MOVER,-5.0,1783862363,41,1783877860.5,PRE_BELL_VALID,1783790234,1784035200,1784114025.0,,1784041324.0,1784035200,MACHINE_RECEIPT,"EXACT (26 receipts, zero spread)",1783790234,1784035200,OK,PARTIAL_FOR_REASON,
26JUL12ALVVAN,KXATPCHALLENGERMATCH-26JUL12ALVVAN,ATP_CHALL,1783801048,1783801048,1783851000,1783854000.0,ALV,VAN,1783817242,75.0,51,1783848969.9,55,1783849108.6,1062.84,606.59,MOVER,-20.0,1783849413,,,,1783817242,25.0,22,1783833555.3,50,1783848964.1,1371.24,523.98,MOVER,25.0,1783849413,29,1783850131.2,POST_BELL_INVALID,1783817242,,,1783849140.0,1783854647.0,1783849140.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783817242,1783849140.0,OK,PARTIAL_FOR_REASON,
26JUL12ARIZHA,KXWTACHALLENGERMATCH-26JUL12ARIZHA,WTA_CHALL,1783807888,1783807888,1783861200,1783861200.0,ARI,ZHA,1783808876,37.0,18,1783851064.6,19,1783851135.1,2660.91,485.29,MOVER,-18.0,1783852447,12,1783853562.1,POST_BELL_INVALID,1783808908,64.0,64,1783828707.8,81,1783851105.8,752.75,530.06,MOVER,17.0,1783852447,82,1783852505.6,POST_BELL_INVALID,1783808908,,,1783851180.0,1783855840.0,1783851180.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783808908,1783851180.0,OK,COMPLETE_AT_DELTA,
26JUL12ARNROM,KXATPCHALLENGERMATCH-26JUL12ARNROM,ATP_CHALL,1783801048,1783801048,1783946100,1783854000.0,ARN,ROM,1783858844,52.0,50,1783875407.3,62,1783946071.3,1996.76,1204.24,MOVER,10.0,1783876039,58,1783911381.6,PRE_BELL_VALID,1783858844,48.0,38,1783941185.3,39,1783946040.2,500.95,197.45,MOVER,-9.0,1783876039,39,1783899899.0,PRE_BELL_VALID,1783858844,1783946100,,,1783956013.0,1783946100,MACHINE_RECEIPT,"EXACT (15 receipts, zero spread)",1783858844,1783946100,OK,COMPLETE_AT_DELTA,3
26JUL12AVASEI,KXWTAMATCH-26JUL12AVASEI,WTA_MAIN,1783781797,1783781797,1783851840,1783850400.0,AVA,SEI,1783809268,87.5,89,1783828975.0,91,1783851778.6,162.21,146.05,STILL,3.5,,,,,1783809268,13.0,11,1783811853.6,12,1783851839.3,945.3,110.51,STILL,-1.0,,,,,1783809268,,,1783853160.0,1783857930.0,1783853160.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783809268,1783851840,OK,NEITHER_FOR_REASON,
26JUL12AVEFOR,KXATPCHALLENGERMATCH-26JUL12AVEFOR,ATP_CHALL,1783830144,1783830144,1783880400,1783883400.0,AVE,FOR,1783833758,53.0,48,1783844777.4,53,1783879935.3,6964.28,3814.69,STILL,0.0,1783844799,,,,1783833758,47.0,46,1783878447.3,49,1783878977.2,4211.11,2152.07,STILL,2.0,1783844799,53,1783873142.1,PRE_BELL_VALID,1783833758,,,1783879980.0,1783886415.0,1783879980.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783833758,1783879980.0,OK,PARTIAL_FOR_REASON,
26JUL12AZKLEO,KXATPCHALLENGERMATCH-26JUL12AZKLEO,ATP_CHALL,1783839829,1783839829,1783888806.274,1783893000.0,AZK,LEO,1783839829,48.0,49,1783847449.8,53,1783888571.5,1322.68,682.61,MOVER,5.0,1783888648,,,,1783839829,50.0,47,1783888643.5,48,1783888729.9,1136.39,539.31,STILL,-2.0,1783888690,,,,1783839829,,,1783890660.0,1783896318.0,1783890660.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783839829,1783888806.274,OK,NEITHER_FOR_REASON,
26JUL12BALHUA,KXWTACHALLENGERMATCH-26JUL12BALHUA,WTA_CHALL,1783856660,1783856660,1783865100,1783865100.0,BAL,HUA,1783857540,20.0,,,,,,,,,1783857508,17,1783857770.0,POST_BELL_INVALID,1783857546,82.5,,,,,,,,,1783857509,78,1783857511.6,POST_BELL_INVALID,1783857546,,,1783857240.0,1783863657.0,1783857240.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783857546,1783857240.0,EMPTY (bell before formation end),COMPLETE_AT_DELTA,
26JUL12BALPET,KXATPCHALLENGERMATCH-26JUL12BALPET,ATP_CHALL,1783801048,1783801048,1783854000,1783854000.0,BAL,PET,1783821294,22.0,14,1783845112.1,14,1783846307.3,177.58,25.19,MOVER,-8.0,1783849019,13,1783849262.1,POST_BELL_INVALID,1783821294,78.0,85,1783836329.6,88,1783840744.4,135.84,117.91,MOVER,10.0,1783849019,,,,1783821294,,,1783846860.0,1783852239.0,1783846860.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783821294,1783846860.0,OK,PARTIAL_FOR_REASON,
26JUL12BARREI,KXATPCHALLENGERMATCH-26JUL12BARREI,ATP_CHALL,1783801048,1783801048,1783914212.592,1783854000.0,BAR,REI,1783901545,69.5,,,,,0,0.0,NO_PRINTS_IN_SPAN,,1783893570,,,,1783902407,30.5,34,1783907258.1,34,1783914196.5,57.05,19.4,STILL,3.5,1783893574,,,,1783902407,,,1784036280.0,1784045125.0,1784036280.0,TAPE_INFERENCE,"inferred, last resort: +-30min (89% validation)",1783902407,1783914212.592,OK,NEITHER_FOR_REASON,
