ep,ts_et,t_minus_scheduled,t_minus_bell,changed_side,change_type,ARN_bid,ARN_bid_sz,ARN_ask,ARN_ask_sz,ARN_last,ARN_spread,ROM_bid,ROM_bid_sz,ROM_ask,ROM_ask_sz,ROM_last,ROM_spread,mark
1783827974,2026-07-11 23:46:14 ET,+7:13:46,+32:48:46,ARN,BBO+PRINT,7,75,95,37,0,88,,,,,,,NEW_LOW_DESCENT_ARN->95
1783827974,2026-07-11 23:46:14 ET,+7:13:46,+32:48:46,ARN,BBO,4,502,95,37,0,91,,,,,,,
1783827974,2026-07-11 23:46:14 ET,+7:13:46,+32:48:46,ARN,BBO,5,75,95,37,0,90,,,,,,,
1783827974,2026-07-11 23:46:14 ET,+7:13:46,+32:48:46,ROM,BBO+PRINT,5,75,95,37,0,90,4,500,94,75,0,90,NEW_LOW_DESCENT_ROM->94
1783829049,2026-07-12 00:04:09 ET,+6:55:51,+32:30:51,ARN,BBO,4,502,95,37,0,91,4,500,94,75,0,90,
1783829049,2026-07-12 00:04:09 ET,+6:55:51,+32:30:51,ARN,BBO,4,508,95,37,0,91,4,500,94,75,0,90,
1783829049,2026-07-12 00:04:09 ET,+6:55:51,+32:30:51,ROM,BBO,4,508,95,37,0,91,4,500,95,37,0,91,
1783829049,2026-07-12 00:04:09 ET,+6:55:51,+32:30:51,ROM,BBO,4,508,95,37,0,91,4,500,95,43,0,91,
1783829599,2026-07-12 00:13:19 ET,+6:46:41,+32:21:41,ROM,BBO,4,508,95,37,0,91,4,500,95,37,0,91,
1783829601,2026-07-12 00:13:21 ET,+6:46:39,+32:21:39,ARN,BBO,4,502,95,37,0,91,4,500,95,37,0,91,
1783829601,2026-07-12 00:13:21 ET,+6:46:39,+32:21:39,ARN,BBO,5,75,95,37,0,90,4,500,95,37,0,91,
1783829601,2026-07-12 00:13:21 ET,+6:46:39,+32:21:39,ROM,BBO,5,75,95,37,0,90,4,500,94,75,0,90,
1783830913,2026-07-12 00:35:13 ET,+6:24:47,+31:59:47,ARN,BBO,6,3,95,37,0,89,4,500,94,75,0,90,
1783830914,2026-07-12 00:35:14 ET,+6:24:46,+31:59:46,ARN,BBO,7,75,95,37,0,88,4,500,94,75,0,90,
1783831016,2026-07-12 00:36:56 ET,+6:23:04,+31:58:04,ARN,BBO,4,502,95,37,0,91,4,500,94,75,0,90,
1783831016,2026-07-12 00:36:56 ET,+6:23:04,+31:58:04,ARN,BBO,5,75,95,37,0,90,4,500,94,75,0,90,
1783833030,2026-07-12 01:10:30 ET,+5:49:30,+31:24:30,ARN,BBO,6,5,95,37,0,89,4,500,94,75,0,90,
1783833031,2026-07-12 01:10:31 ET,+5:49:29,+31:24:29,ARN,BBO,7,75,95,37,0,88,4,500,94,75,0,90,
1783833125,2026-07-12 01:12:05 ET,+5:47:55,+31:22:55,ROM,BBO,7,75,95,37,0,88,14,10,94,75,0,80,
1783833128,2026-07-12 01:12:08 ET,+5:47:52,+31:22:52,ARN,BBO,14,10,95,37,0,81,14,10,94,75,0,80,
1783833128,2026-07-12 01:12:08 ET,+5:47:52,+31:22:52,ROM,BBO,14,10,95,37,0,81,14,10,93,1,0,79,NEW_LOW_DESCENT_ROM->93
1783833129,2026-07-12 01:12:09 ET,+5:47:51,+31:22:51,ARN,BBO,15,75,95,37,0,80,14,10,93,1,0,79,
1783833129,2026-07-12 01:12:09 ET,+5:47:51,+31:22:51,ROM,BBO,15,75,95,37,0,80,14,10,92,75,0,78,NEW_LOW_DESCENT_ROM->92
1783833131,2026-07-12 01:12:11 ET,+5:47:49,+31:22:49,ROM,BBO,15,75,95,37,0,80,14,10,95,37,0,81,
1783833131,2026-07-12 01:12:11 ET,+5:47:49,+31:22:49,ROM,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833469,2026-07-12 01:17:49 ET,+5:42:11,+31:17:11,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->94
1783833469,2026-07-12 01:17:49 ET,+5:42:11,+31:17:11,ARN,BBO,15,75,94,69,0,79,14,10,94,75,0,80,
1783833471,2026-07-12 01:17:51 ET,+5:42:09,+31:17:09,ARN,BBO,15,75,94,13,0,79,14,10,94,75,0,80,
1783833471,2026-07-12 01:17:51 ET,+5:42:09,+31:17:09,ARN,BBO,15,75,93,49,0,78,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->93
1783833471,2026-07-12 01:17:51 ET,+5:42:09,+31:17:09,ARN,BBO,15,75,92,10,0,77,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->92
1783833473,2026-07-12 01:17:53 ET,+5:42:07,+31:17:07,ARN,BBO,15,75,91,36,0,76,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->91
1783833473,2026-07-12 01:17:53 ET,+5:42:07,+31:17:07,ARN,BBO,15,75,90,10,0,75,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->90
1783833475,2026-07-12 01:17:55 ET,+5:42:05,+31:17:05,ARN,BBO,15,75,89,23,0,74,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->89
1783833475,2026-07-12 01:17:55 ET,+5:42:05,+31:17:05,ARN,BBO,15,75,88,10,0,73,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->88
1783833477,2026-07-12 01:17:57 ET,+5:42:03,+31:17:03,ARN,BBO,15,75,87,9,0,72,14,10,94,75,0,80,NEW_LOW_DESCENT_ARN->87
1783833479,2026-07-12 01:17:59 ET,+5:42:01,+31:17:01,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833479,2026-07-12 01:17:59 ET,+5:42:01,+31:17:01,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
