ep,ts_et,t_minus_scheduled,t_minus_bell,changed_side,change_type,ARN_bid,ARN_bid_sz,ARN_ask,ARN_ask_sz,ARN_last,ARN_spread,ROM_bid,ROM_bid_sz,ROM_ask,ROM_ask_sz,ROM_last,ROM_spread,mark
1783833479,2026-07-12 01:17:59 ET,+5:42:01,+31:17:01,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833481,2026-07-12 01:18:01 ET,+5:41:59,+31:16:59,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833481,2026-07-12 01:18:01 ET,+5:41:59,+31:16:59,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833483,2026-07-12 01:18:03 ET,+5:41:57,+31:16:57,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833483,2026-07-12 01:18:03 ET,+5:41:57,+31:16:57,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833485,2026-07-12 01:18:05 ET,+5:41:55,+31:16:55,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833487,2026-07-12 01:18:07 ET,+5:41:53,+31:16:53,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833487,2026-07-12 01:18:07 ET,+5:41:53,+31:16:53,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833487,2026-07-12 01:18:07 ET,+5:41:53,+31:16:53,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833489,2026-07-12 01:18:09 ET,+5:41:51,+31:16:51,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833489,2026-07-12 01:18:09 ET,+5:41:51,+31:16:51,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833491,2026-07-12 01:18:11 ET,+5:41:49,+31:16:49,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833491,2026-07-12 01:18:11 ET,+5:41:49,+31:16:49,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833493,2026-07-12 01:18:13 ET,+5:41:47,+31:16:47,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833495,2026-07-12 01:18:15 ET,+5:41:45,+31:16:45,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833495,2026-07-12 01:18:15 ET,+5:41:45,+31:16:45,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833495,2026-07-12 01:18:15 ET,+5:41:45,+31:16:45,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833497,2026-07-12 01:18:17 ET,+5:41:43,+31:16:43,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833497,2026-07-12 01:18:17 ET,+5:41:43,+31:16:43,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833499,2026-07-12 01:18:19 ET,+5:41:41,+31:16:41,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833499,2026-07-12 01:18:19 ET,+5:41:41,+31:16:41,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833501,2026-07-12 01:18:21 ET,+5:41:39,+31:16:39,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833503,2026-07-12 01:18:23 ET,+5:41:37,+31:16:37,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833503,2026-07-12 01:18:23 ET,+5:41:37,+31:16:37,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833503,2026-07-12 01:18:23 ET,+5:41:37,+31:16:37,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833505,2026-07-12 01:18:25 ET,+5:41:35,+31:16:35,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833505,2026-07-12 01:18:25 ET,+5:41:35,+31:16:35,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833507,2026-07-12 01:18:27 ET,+5:41:33,+31:16:33,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833507,2026-07-12 01:18:27 ET,+5:41:33,+31:16:33,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833509,2026-07-12 01:18:29 ET,+5:41:31,+31:16:31,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833511,2026-07-12 01:18:31 ET,+5:41:29,+31:16:29,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833511,2026-07-12 01:18:31 ET,+5:41:29,+31:16:29,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833511,2026-07-12 01:18:31 ET,+5:41:29,+31:16:29,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833513,2026-07-12 01:18:33 ET,+5:41:27,+31:16:27,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833513,2026-07-12 01:18:33 ET,+5:41:27,+31:16:27,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833515,2026-07-12 01:18:35 ET,+5:41:25,+31:16:25,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833515,2026-07-12 01:18:35 ET,+5:41:25,+31:16:25,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833517,2026-07-12 01:18:37 ET,+5:41:23,+31:16:23,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833519,2026-07-12 01:18:39 ET,+5:41:21,+31:16:21,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833519,2026-07-12 01:18:39 ET,+5:41:21,+31:16:21,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833519,2026-07-12 01:18:39 ET,+5:41:21,+31:16:21,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833521,2026-07-12 01:18:41 ET,+5:41:19,+31:16:19,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833521,2026-07-12 01:18:41 ET,+5:41:19,+31:16:19,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833523,2026-07-12 01:18:43 ET,+5:41:17,+31:16:17,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833523,2026-07-12 01:18:43 ET,+5:41:17,+31:16:17,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833525,2026-07-12 01:18:45 ET,+5:41:15,+31:16:15,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833527,2026-07-12 01:18:47 ET,+5:41:13,+31:16:13,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833527,2026-07-12 01:18:47 ET,+5:41:13,+31:16:13,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833527,2026-07-12 01:18:47 ET,+5:41:13,+31:16:13,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833529,2026-07-12 01:18:49 ET,+5:41:11,+31:16:11,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833529,2026-07-12 01:18:49 ET,+5:41:11,+31:16:11,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833531,2026-07-12 01:18:51 ET,+5:41:09,+31:16:09,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833531,2026-07-12 01:18:51 ET,+5:41:09,+31:16:09,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833533,2026-07-12 01:18:53 ET,+5:41:07,+31:16:07,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833535,2026-07-12 01:18:55 ET,+5:41:05,+31:16:05,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833535,2026-07-12 01:18:55 ET,+5:41:05,+31:16:05,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833535,2026-07-12 01:18:55 ET,+5:41:05,+31:16:05,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833537,2026-07-12 01:18:57 ET,+5:41:03,+31:16:03,ARN,BBO,15,75,92,43,0,77,14,10,94,75,0,80,
1783833537,2026-07-12 01:18:57 ET,+5:41:03,+31:16:03,ARN,BBO,15,75,91,10,0,76,14,10,94,75,0,80,
1783833539,2026-07-12 01:18:59 ET,+5:41:01,+31:16:01,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833539,2026-07-12 01:18:59 ET,+5:41:01,+31:16:01,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833542,2026-07-12 01:19:02 ET,+5:40:58,+31:15:58,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833543,2026-07-12 01:19:03 ET,+5:40:57,+31:15:57,ARN,BBO,15,75,95,37,0,80,14,10,94,75,0,80,
1783833543,2026-07-12 01:19:03 ET,+5:40:57,+31:15:57,ARN,BBO,15,75,94,56,0,79,14,10,94,75,0,80,
1783833543,2026-07-12 01:19:03 ET,+5:40:57,+31:15:57,ARN,BBO,15,75,93,10,0,78,14,10,94,75,0,80,
1783833545,2026-07-12 01:19:05 ET,+5:40:55,+31:15:55,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833545,2026-07-12 01:19:05 ET,+5:40:55,+31:15:55,ARN,BBO,15,75,90,10,0,75,14,10,94,75,0,80,
1783833545,2026-07-12 01:19:05 ET,+5:40:55,+31:15:55,ARN,BBO,15,75,89,23,0,74,14,10,94,75,0,80,
1783833545,2026-07-12 01:19:05 ET,+5:40:55,+31:15:55,ARN,BBO,15,75,88,10,0,73,14,10,94,75,0,80,
1783833559,2026-07-12 01:19:19 ET,+5:40:41,+31:15:41,ARN,BBO,15,75,87,9,0,72,14,10,94,75,0,80,
1783833561,2026-07-12 01:19:21 ET,+5:40:39,+31:15:39,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833561,2026-07-12 01:19:21 ET,+5:40:39,+31:15:39,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833563,2026-07-12 01:19:23 ET,+5:40:37,+31:15:37,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833565,2026-07-12 01:19:25 ET,+5:40:35,+31:15:35,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833565,2026-07-12 01:19:25 ET,+5:40:35,+31:15:35,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833565,2026-07-12 01:19:25 ET,+5:40:35,+31:15:35,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833567,2026-07-12 01:19:27 ET,+5:40:33,+31:15:33,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833569,2026-07-12 01:19:29 ET,+5:40:31,+31:15:31,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833569,2026-07-12 01:19:29 ET,+5:40:31,+31:15:31,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833569,2026-07-12 01:19:29 ET,+5:40:31,+31:15:31,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833571,2026-07-12 01:19:31 ET,+5:40:29,+31:15:29,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833573,2026-07-12 01:19:33 ET,+5:40:27,+31:15:27,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833573,2026-07-12 01:19:33 ET,+5:40:27,+31:15:27,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833573,2026-07-12 01:19:33 ET,+5:40:27,+31:15:27,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833575,2026-07-12 01:19:35 ET,+5:40:25,+31:15:25,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833577,2026-07-12 01:19:37 ET,+5:40:23,+31:15:23,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833577,2026-07-12 01:19:37 ET,+5:40:23,+31:15:23,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833577,2026-07-12 01:19:37 ET,+5:40:23,+31:15:23,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833579,2026-07-12 01:19:39 ET,+5:40:21,+31:15:21,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833581,2026-07-12 01:19:41 ET,+5:40:19,+31:15:19,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833581,2026-07-12 01:19:41 ET,+5:40:19,+31:15:19,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833581,2026-07-12 01:19:41 ET,+5:40:19,+31:15:19,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833583,2026-07-12 01:19:43 ET,+5:40:17,+31:15:17,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833585,2026-07-12 01:19:45 ET,+5:40:15,+31:15:15,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833585,2026-07-12 01:19:45 ET,+5:40:15,+31:15:15,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833585,2026-07-12 01:19:45 ET,+5:40:15,+31:15:15,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833587,2026-07-12 01:19:47 ET,+5:40:13,+31:15:13,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833589,2026-07-12 01:19:49 ET,+5:40:11,+31:15:11,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833589,2026-07-12 01:19:49 ET,+5:40:11,+31:15:11,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833589,2026-07-12 01:19:49 ET,+5:40:11,+31:15:11,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833591,2026-07-12 01:19:51 ET,+5:40:09,+31:15:09,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833593,2026-07-12 01:19:53 ET,+5:40:07,+31:15:07,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833593,2026-07-12 01:19:53 ET,+5:40:07,+31:15:07,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833593,2026-07-12 01:19:53 ET,+5:40:07,+31:15:07,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833595,2026-07-12 01:19:55 ET,+5:40:05,+31:15:05,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833597,2026-07-12 01:19:57 ET,+5:40:03,+31:15:03,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833597,2026-07-12 01:19:57 ET,+5:40:03,+31:15:03,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833597,2026-07-12 01:19:57 ET,+5:40:03,+31:15:03,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833599,2026-07-12 01:19:59 ET,+5:40:01,+31:15:01,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833601,2026-07-12 01:20:01 ET,+5:39:59,+31:14:59,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833601,2026-07-12 01:20:01 ET,+5:39:59,+31:14:59,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833601,2026-07-12 01:20:01 ET,+5:39:59,+31:14:59,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833604,2026-07-12 01:20:04 ET,+5:39:56,+31:14:56,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833605,2026-07-12 01:20:05 ET,+5:39:55,+31:14:55,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833605,2026-07-12 01:20:05 ET,+5:39:55,+31:14:55,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833605,2026-07-12 01:20:05 ET,+5:39:55,+31:14:55,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833607,2026-07-12 01:20:07 ET,+5:39:53,+31:14:53,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833610,2026-07-12 01:20:10 ET,+5:39:50,+31:14:50,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833610,2026-07-12 01:20:10 ET,+5:39:50,+31:14:50,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833610,2026-07-12 01:20:10 ET,+5:39:50,+31:14:50,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833611,2026-07-12 01:20:11 ET,+5:39:49,+31:14:49,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833613,2026-07-12 01:20:13 ET,+5:39:47,+31:14:47,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833613,2026-07-12 01:20:13 ET,+5:39:47,+31:14:47,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833613,2026-07-12 01:20:13 ET,+5:39:47,+31:14:47,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833616,2026-07-12 01:20:16 ET,+5:39:44,+31:14:44,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833617,2026-07-12 01:20:17 ET,+5:39:43,+31:14:43,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833617,2026-07-12 01:20:17 ET,+5:39:43,+31:14:43,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833618,2026-07-12 01:20:18 ET,+5:39:42,+31:14:42,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833619,2026-07-12 01:20:19 ET,+5:39:41,+31:14:41,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833622,2026-07-12 01:20:22 ET,+5:39:38,+31:14:38,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833622,2026-07-12 01:20:22 ET,+5:39:38,+31:14:38,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833622,2026-07-12 01:20:22 ET,+5:39:38,+31:14:38,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833623,2026-07-12 01:20:23 ET,+5:39:37,+31:14:37,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833625,2026-07-12 01:20:25 ET,+5:39:35,+31:14:35,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833625,2026-07-12 01:20:25 ET,+5:39:35,+31:14:35,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833626,2026-07-12 01:20:26 ET,+5:39:34,+31:14:34,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833627,2026-07-12 01:20:27 ET,+5:39:33,+31:14:33,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833629,2026-07-12 01:20:29 ET,+5:39:31,+31:14:31,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833629,2026-07-12 01:20:29 ET,+5:39:31,+31:14:31,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833629,2026-07-12 01:20:29 ET,+5:39:31,+31:14:31,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833631,2026-07-12 01:20:31 ET,+5:39:29,+31:14:29,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833633,2026-07-12 01:20:33 ET,+5:39:27,+31:14:27,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833633,2026-07-12 01:20:33 ET,+5:39:27,+31:14:27,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833634,2026-07-12 01:20:34 ET,+5:39:26,+31:14:26,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833635,2026-07-12 01:20:35 ET,+5:39:25,+31:14:25,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833638,2026-07-12 01:20:38 ET,+5:39:22,+31:14:22,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833638,2026-07-12 01:20:38 ET,+5:39:22,+31:14:22,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833638,2026-07-12 01:20:38 ET,+5:39:22,+31:14:22,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833639,2026-07-12 01:20:39 ET,+5:39:21,+31:14:21,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833641,2026-07-12 01:20:41 ET,+5:39:19,+31:14:19,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833641,2026-07-12 01:20:41 ET,+5:39:19,+31:14:19,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833641,2026-07-12 01:20:41 ET,+5:39:19,+31:14:19,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833643,2026-07-12 01:20:43 ET,+5:39:17,+31:14:17,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833645,2026-07-12 01:20:45 ET,+5:39:15,+31:14:15,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833645,2026-07-12 01:20:45 ET,+5:39:15,+31:14:15,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833646,2026-07-12 01:20:46 ET,+5:39:14,+31:14:14,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833647,2026-07-12 01:20:47 ET,+5:39:13,+31:14:13,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
1783833649,2026-07-12 01:20:49 ET,+5:39:11,+31:14:11,ARN,BBO,15,75,91,2,0,76,14,10,94,75,0,80,
1783833649,2026-07-12 01:20:49 ET,+5:39:11,+31:14:11,ARN,BBO,15,75,90,29,0,75,14,10,94,75,0,80,
1783833650,2026-07-12 01:20:50 ET,+5:39:10,+31:14:10,ARN,BBO,15,75,89,10,0,74,14,10,94,75,0,80,
1783833651,2026-07-12 01:20:51 ET,+5:39:09,+31:14:09,ARN,BBO,15,75,88,16,0,73,14,10,94,75,0,80,
