family,category,legs,depth_p25,depth_med,depth_p75,depth_p90,floorpos_p25,floorpos_med,floorpos_p75,early_kind,declare_f_med_or_still25,by025_or_still50,by05
DRIFT_DOWN,ALL,44,7.0,8.5,10.0,13.5,0.8761364276433456,0.9651573760290688,0.9904089880382749,DIRECTIONAL,0.25,59,95
DRIFT_DOWN,ATP_CHALL,16,8.0,10.0,12.0,14.0,0.7730864972303183,0.9436749335283799,0.9871953643096745,DIRECTIONAL,0.375,44,94
DRIFT_DOWN,ATP_MAIN,11,6.5,9.0,10.0,12.5,0.7161878720374413,0.9322661926110357,0.9723343608084689,DIRECTIONAL,0.25,64,100
DRIFT_DOWN,WTA_CHALL,5,6.0,7.0,7.0,8.5,0.9918073082064119,0.9970888059268429,0.9977436256891093,DIRECTIONAL,0.25,80,80
DRIFT_DOWN,WTA_MAIN,12,7.0,8.0,10.0,13.5,0.9402105633448917,0.9710133231398955,0.9772790380012952,DIRECTIONAL,0.1875,67,100
DRIFT_UP,ALL,95,-3.0,-2.0,-1.0,1.0,0.03076314425254427,0.0743511897132673,0.22209732581770317,DIRECTIONAL,0.125,80,96
DRIFT_UP,ATP_CHALL,43,-3.0,-2.0,-1.0,0.0,0.03898461765834626,0.10271398254903637,0.27020287402887416,DIRECTIONAL,0.125,72,95
DRIFT_UP,ATP_MAIN,24,-2.5,-1.5,-1.0,2.0,0.02286779480533183,0.06252403602736323,0.14402576031319966,DIRECTIONAL,0.0625,83,100
DRIFT_UP,WTA_CHALL,6,-3.0,-2.5,-1.0,-1.0,0.04942736446619649,0.14327491714143362,0.4426978963226295,DIRECTIONAL,0.125,83,83
DRIFT_UP,WTA_MAIN,22,-3.5,-2.5,0.0,1.0,0.018691588785046728,0.05378229022838165,0.09238554102989238,DIRECTIONAL,0.125,91,95
EARLY_SET_DOWN,ALL,62,7.5,9.0,11.0,14.0,0.2926683877001791,0.5902244660590413,0.920501839500593,DIRECTIONAL,0.125,100,100
EARLY_SET_DOWN,ATP_CHALL,21,8.0,8.0,10.0,13.0,0.3555171934837391,0.6427315379180846,0.920501839500593,DIRECTIONAL,0.125,100,100
EARLY_SET_DOWN,ATP_MAIN,19,7.5,9.5,11.0,14.0,0.2914394233632614,0.48502662586540707,0.6939867186117908,DIRECTIONAL,0.125,100,100
EARLY_SET_DOWN,WTA_MAIN,19,7.0,10.0,11.0,14.0,0.32176653505654457,0.724280187486937,0.9447108236109053,DIRECTIONAL,0.0625,100,100
EARLY_SET_UP,ALL,80,-4.0,-3.0,-2.0,-0.5,0.020463371581980746,0.05701372321774097,0.20682851260629684,DIRECTIONAL,0.0625,100,100
EARLY_SET_UP,ATP_CHALL,30,-5.0,-4.0,-2.5,-2.0,0.029715153299470106,0.10466573063874127,0.4439062068790055,DIRECTIONAL,0.0625,100,100
EARLY_SET_UP,ATP_MAIN,21,-3.0,-3.0,-1.5,2.0,0.01631550436220562,0.028532185019807643,0.12304513818045348,DIRECTIONAL,0.0625,100,100
EARLY_SET_UP,WTA_MAIN,25,-4.0,-3.0,-1.5,1.0,0.02321861791320916,0.04446721962238171,0.1584402713873055,DIRECTIONAL,0.0625,100,100
GRIND_WOBBLE_DOWN,ALL,3,7.0,7.0,8.5,8.5,0.7246713548381474,0.8565541568675102,0.9423349014273597,DIRECTIONAL,0.125,100,100
GRIND_WOBBLE_UP,ALL,4,-2.0,-1.0,-1.0,0.0,0.09821368174413203,0.13751626696477637,0.13751626696477637,DIRECTIONAL,0.1875,100,100
LATE_BREAK_DOWN,ALL,37,7.0,8.0,12.0,15.0,0.9643342218844835,0.9932936710021834,0.99673087414595,DIRECTIONAL,0.9375,11,16
LATE_BREAK_DOWN,ATP_CHALL,19,7.0,8.0,14.0,18.0,0.9321541025210931,0.9882213873940124,0.9953867399122873,DIRECTIONAL,0.9375,5,11
LATE_BREAK_DOWN,ATP_MAIN,5,6.0,6.0,7.0,8.0,0.9643342218844835,0.9963822294223125,0.9983797226688103,DIRECTIONAL,0.125,60,80
LATE_BREAK_DOWN,WTA_CHALL,9,8.0,12.0,15.0,15.0,0.9932936710021834,0.9956160418331315,0.9972700605579257,DIRECTIONAL,1.0,0,0
LATE_BREAK_UP,ALL,39,-1.0,0.0,1.5,2.0,0.293858389026198,0.4903467532157602,0.8185847847741521,DIRECTIONAL,0.8125,28,31
