code,cat,bell,margin,leg,census_A_epoch,census_B_epoch,census_sel_epoch,onset_tmin,runtime_onset_epoch,runtime_cand,runtime_passed_tmin,first_read_tmin,floor,floor_first_print_tmin,last_receipt_tmin,edge_tmin,runtime_vs_census
26JUL14GOMMCD,ATP_MAIN,exact,6,GOM,1783987227,1784041287,1783987227,592.0,1783987227,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,592.3,592.3,54,681.8,1641.5,1641.5,agrees
26JUL14GOMMCD,ATP_MAIN,exact,6,MCD,1783987227,1784040687,1783987227,592.0,1783987227,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,592.4,592.4,40,1609.0,861.5,1641.5,agrees
26JUL14NEUPRA,ATP_MAIN,exact,1,NEU,,1784047416,1784047416,58.0,1784047416,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,58.1,59.7,64,106.6,109.1,109.4,agrees
26JUL14NEUPRA,ATP_MAIN,exact,1,PRA,,1784046576,1784046576,44.0,1784046576,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,44.7,44.9,35,44.8,109.1,109.4,agrees
26JUL14VANDAN,ATP_MAIN,live_by_only,4,DAN,1783967332,1784003032,1783967332,184.0,1783967332,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,184.0,184.0,38,264.2,1140.1,1140.1,agrees
26JUL14VANDAN,ATP_MAIN,live_by_only,4,VAN,1783967332,1783997812,1783967332,184.0,1783967332,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,184.9,184.9,58,594.8,381.1,1140.1,agrees
26JUL15BASTIR,ATP_MAIN,live_by_only,3,BAS,1784110847,1784148107,1784110847,1212.0,1784110847,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,1212.0,1212.4,30,1516.0,1510.6,2576.2,agrees
26JUL15BASTIR,ATP_MAIN,live_by_only,3,TIR,1784110847,1784161847,1784110847,1212.0,1784110847,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,1213.0,1213.0,67,1365.6,2576.2,2576.2,agrees
26JUL15PRADZU,ATP_MAIN,exact,3,DZU,,1784122600,1784122600,1065.0,1784122600,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,1065.4,1066.0,62,1095.2,1095.6,1103.3,agrees
26JUL15PRADZU,ATP_MAIN,exact,3,PRA,,1784122120,1784122120,1057.0,1784122120,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,1057.7,1058.0,35,1063.0,1103.3,1103.3,agrees
