code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL17FORTOM,FOR,ATP_CHALL,26_50,FLAT_BOTH,,0.0,33,1784327031.7,0.1575,False,,,1784327032,FALLING
26JUL17FORTOM,TOM,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,65,1784329521.7,0.6944,True,66,1784327924.246,1784327033,RISING
26JUL17GALCOP,COP,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,56,1784271062.9,0.9013,True,56,1784271689.498,1784271076,FALLING
26JUL17GALCOP,GAL,ATP_CHALL,26_50,FLAT_BOTH,,1.0,42,1784265332.1,0.2324,False,,,1784271076,RISING
26JUL17GENHOU,GEN,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,53,1784288445.9,0.1143,False,,,,
26JUL17GENHOU,HOU,ATP_CHALL,26_50,FLAT_BOTH,,1.5,48,1784294670.1,0.0978,False,,,,
26JUL17GRAVAN,GRA,WTA_CHALL,26_50,FLAT_BOTH,,2.0,44,1784249030.6,0.122,False,,,,
26JUL17GRAVAN,VAN,WTA_CHALL,51_75,FLAT_BOTH,,-1.0,56,1784258039.5,0.6295,False,,,,
26JUL17HALSHE,HAL,ATP_MAIN,26_50,MIRRORED,CLIMBER,9.0,60,1784289609.2,0.6208,False,,,,
26JUL17HALSHE,SHE,ATP_MAIN,26_50,MIRRORED,FALLER,-11.5,,,,False,,,,
26JUL17HOLBOU,BOU,ATP_CHALL,26_50,FLAT_BOTH,,-1.0,33,1784301756.1,0.4321,True,33,1784308381.191,1784302762,FALLING
26JUL17HOLBOU,HOL,ATP_CHALL,51_75,FLAT_BOTH,,0.0,66,1784302749.4,0.4722,True,66,1784302884.249,1784302762,FALLING
26JUL17JONNOH,JON,WTA_CHALL,51_75,FLAT_BOTH,,-1.5,63,1784295766.1,0.5948,False,,,,
