code,leg,bell_source,bell_epoch,floor_old,floor_pre_bell,close_old,close_pre_bell,credited,entry,fill_ts,fill_validity
26JUL12ALTGAS,ALT,MACHINE_RECEIPT,1784035200,58,58,65,65,False,,,
26JUL12ALTGAS,GAS,MACHINE_RECEIPT,1784035200,38,38,38,38,True,41,1783877860.516,PRE_BELL_OK
26JUL12ALVVAN,ALV,TAPE_SIGNATURE,1783849140.0,52,,76,,False,,,
26JUL12ALVVAN,VAN,TAPE_SIGNATURE,1783849140.0,24,,25,,True,29,1783850131.197,POST_BELL_FILL
26JUL12ARIZHA,ARI,TAPE_SIGNATURE,1783851180.0,1,,2,,True,12,1783853562.056,POST_BELL_FILL
26JUL12ARIZHA,ZHA,TAPE_SIGNATURE,1783851180.0,62,,99,,True,82,1783852505.553,POST_BELL_FILL
26JUL12ARNROM,ARN,MACHINE_RECEIPT,1783946100,50,50,62,62,True,58,1783911381.61,PRE_BELL_OK
26JUL12ARNROM,ROM,MACHINE_RECEIPT,1783946100,38,38,39,39,True,39,1783899899.019,PRE_BELL_OK
26JUL12AVASEI,AVA,TAPE_SIGNATURE,1783853160.0,89,89,91,91,False,,,
26JUL12AVASEI,SEI,TAPE_SIGNATURE,1783853160.0,11,11,12,12,False,,,
26JUL12AVEFOR,AVE,TAPE_SIGNATURE,1783879980.0,48,48,57,53,False,,,
26JUL12AVEFOR,FOR,TAPE_SIGNATURE,1783879980.0,43,46,44,49,True,53,1783873142.14,PRE_BELL_OK
26JUL12AZKLEO,AZK,TAPE_SIGNATURE,1783890660.0,52,52,53,53,False,,,
26JUL12AZKLEO,LEO,TAPE_SIGNATURE,1783890660.0,47,47,48,48,False,,,
26JUL12BALHUA,BAL,TAPE_SIGNATURE,1783857240.0,1,,1,,True,17,1783857770.019,POST_BELL_FILL
26JUL12BALHUA,HUA,TAPE_SIGNATURE,1783857240.0,66,,99,,True,78,1783857511.643,POST_BELL_FILL
26JUL12BALPET,BAL,TAPE_SIGNATURE,1783846860.0,1,,1,,True,13,1783849262.082,POST_BELL_FILL
26JUL12BALPET,PET,TAPE_SIGNATURE,1783846860.0,76,,99,,False,,,
