ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1783986059,2026-07-13 07:40:59 PM,63283.9,4,500,94,4
1783986065,2026-07-13 07:41:05 PM,63277.9,5,250,94,4
1783986118,2026-07-13 07:41:58 PM,63224.9,36,100,94,4
1783986118,2026-07-13 07:41:58 PM,63224.9,36,200,94,4
1783986118,2026-07-13 07:41:58 PM,63224.9,36,300,94,4
1783986118,2026-07-13 07:41:58 PM,63224.9,36,400,94,4
1783986118,2026-07-13 07:41:58 PM,63224.9,36,500,94,4
1783986119,2026-07-13 07:41:59 PM,63223.9,36,600,94,4
1783986119,2026-07-13 07:41:59 PM,63223.9,37,250,94,4
1783986119,2026-07-13 07:41:59 PM,63223.9,37,250,91,100
1783986119,2026-07-13 07:41:59 PM,63223.9,37,495,91,100
1783986119,2026-07-13 07:41:59 PM,63223.9,37,495,91,200
1783986119,2026-07-13 07:41:59 PM,63223.9,37,495,91,286
1783986120,2026-07-13 07:42:00 PM,63222.9,37,495,90,143
1783986212,2026-07-13 07:43:32 PM,63130.9,79,2168,90,143
1783986212,2026-07-13 07:43:32 PM,63130.9,79,2168,85,2417
1783986213,2026-07-13 07:43:33 PM,63129.9,79,2168,85,2788
1783986222,2026-07-13 07:43:42 PM,63120.9,79,2168,84,555
1783986228,2026-07-13 07:43:48 PM,63114.9,79,2501,84,555
1783986228,2026-07-13 07:43:48 PM,63114.9,80,222,84,555
1783986395,2026-07-13 07:46:35 PM,62947.9,80,2362,84,555
1783986397,2026-07-13 07:46:37 PM,62945.9,80,2362,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2462,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2562,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2662,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2762,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2862,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,2962,84,13
1783986514,2026-07-13 07:48:34 PM,62828.9,80,3062,84,13
1783986515,2026-07-13 07:48:35 PM,62827.9,80,3162,84,13
1783986515,2026-07-13 07:48:35 PM,62827.9,80,3262,84,13
1783986515,2026-07-13 07:48:35 PM,62827.9,80,3362,84,13
