ts_et,ticker,price,count,taker_side
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,2,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,135,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,400,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,400,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,400,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,685,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,400,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,400,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,85,0,yes
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,122,no
2026-04-18 04:07:20 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,85,345,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,86,17,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,86,50,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,87,80,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,87,400,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,87,400,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,87,45,yes
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,87,7,no
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,85,10,no
2026-04-18 04:07:23 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,1002,no
2026-04-18 04:07:24 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,84,186,no
2026-04-18 04:07:25 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,86,50,yes
2026-04-18 04:07:25 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,86,292,yes
2026-04-18 04:07:27 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,86,2,yes
2026-04-18 04:07:28 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,85,100,no
2026-04-18 04:07:30 PM,KXATPCHALLENGERMATCH-26APR18REIKEN-KEN,85,2,no
