ts_et,ticker,price,count,taker_side
2026-04-18 04:08:36 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,94,1,yes
2026-04-18 04:30:05 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,91,1,no
2026-04-18 04:51:05 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,94,13,yes
2026-04-18 04:51:24 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,14,yes
2026-04-18 04:51:24 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,25,yes
2026-04-18 04:51:24 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,119,yes
2026-04-18 04:51:24 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,24,yes
2026-04-18 04:51:53 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,14,yes
2026-04-18 04:51:53 PM,KXATPCHALLENGERMATCH-26APR18DANHYU-DAN,95,26,yes
