ts_et,ticker,price,count,taker_side
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,2,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:02 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,61,1,yes
2026-04-18 04:08:24 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:24 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:24 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:24 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:08:24 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,61,46,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:04 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,0,yes
2026-04-18 04:10:17 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,3,yes
2026-04-18 04:10:17 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:17 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:17 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:10:17 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,61,16,yes
2026-04-18 04:18:45 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,58,4,no
2026-04-18 04:18:45 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,58,58,no
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
2026-04-18 04:20:29 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-TAB,60,4,yes
