ts_et,ticker,price,count,taker_side
2026-04-18 04:09:02 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,52,yes
2026-04-18 04:11:31 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,16,yes
2026-04-18 04:11:31 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,11,yes
2026-04-18 04:13:28 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,138,yes
2026-04-18 04:15:11 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,40,yes
2026-04-18 04:17:30 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,13,yes
2026-04-18 04:21:14 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,1,yes
2026-04-18 04:22:33 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,83,yes
2026-04-18 04:24:37 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,13,yes
2026-04-18 04:26:45 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,13,yes
2026-04-18 04:29:32 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,138,yes
2026-04-18 04:29:57 PM,KXWTAMATCH-26APR19RYBMUC-RYB,70,138,yes
2026-04-18 04:34:01 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,68,yes
2026-04-18 04:37:47 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,69,yes
2026-04-18 04:53:00 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,13,yes
2026-04-18 04:53:24 PM,KXWTAMATCH-26APR19RYBMUC-RYB,71,84,yes
