ts_et,ticker,price,count,taker_side
2026-04-18 04:20:18 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,33,yes
2026-04-18 04:20:18 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,21,yes
2026-04-18 04:20:18 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,53,yes
2026-04-18 04:20:18 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,6,yes
2026-04-18 04:22:20 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,1,yes
2026-04-18 04:27:17 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,71,yes
2026-04-18 04:27:38 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,20,yes
2026-04-18 04:27:38 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,50,yes
2026-04-18 04:29:00 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,1,yes
2026-04-18 04:32:08 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,4,16,yes
2026-04-18 04:32:30 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,4,6,yes
2026-04-18 04:42:02 PM,KXATPCHALLENGERMATCH-26APR18KANMAS-KAN,5,18,yes
