ts_et,ticker,price,count,taker_side
2026-04-18 04:17:51 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,93,1,yes
2026-04-18 04:20:15 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,93,3,yes
