ts_et,ticker,price,count,taker_side
2026-04-18 04:07:46 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,3,yes
2026-04-18 04:07:46 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,7,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,42,395,yes
2026-04-18 04:07:47 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,42,253,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,4,yes
2026-04-18 04:08:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,3,yes
2026-04-18 04:10:25 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,40,4,no
2026-04-18 04:10:25 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,40,9,no
2026-04-18 04:12:25 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,41,0,yes
