ts_epoch,ts_et,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,print_price,print_size,taker_side,trade_id
1783813297,2026-07-11 19:41:37,BIN,BBO,4,500,95,7,,,,
1783813297,2026-07-11 19:41:37,GIL,BBO,4,500,95,7,,,,
1783813642,2026-07-11 19:47:22,BIN,BBO,72,500,95,7,,,,
1783813642,2026-07-11 19:47:22,BIN,BBO,72,500,82,500,,,,
1783813642,2026-07-11 19:47:22,GIL,BBO,18,500,95,7,,,,
1783813642,2026-07-11 19:47:22,GIL,BBO,18,500,28,500,,,,
1783815058,2026-07-11 20:10:58,BIN,BBO,72,500,81,200,,,,
1783815058,2026-07-11 20:10:58,GIL,BBO,19,100,28,500,,,,
1783815978,2026-07-11 20:26:18,BIN,BBO,72,500,82,500,,,,
1783815978,2026-07-11 20:26:18,GIL,BBO,18,500,28,500,,,,
1783817401,2026-07-11 20:50:01,BIN,BBO,73,503,82,500,,,,
1783817408,2026-07-11 20:50:08,BIN,BBO,73,853,88,1,,,,
1783817408,2026-07-11 20:50:08,GIL,BBO,11,1,28,500,,,,
1783817408,2026-07-11 20:50:08,GIL,BBO,11,1,42,1948,,,,
1783817409,2026-07-11 20:50:09,BIN,BBO,80,500,88,1,,,,
1783817409,2026-07-11 20:50:09,GIL,BBO,11,1,20,500,,,,
1783817503,2026-07-11 20:51:43,BIN,BBO,58,853,88,1,,,,
1783817503,2026-07-11 20:51:43,GIL,BBO,11,1,42,1948,,,,
1783817504,2026-07-11 20:51:44,BIN,BBO,79,500,88,1,,,,
1783817504,2026-07-11 20:51:44,GIL,BBO,11,501,21,500,,,,
1783817526,2026-07-11 20:52:06,BIN,BBO,58,853,88,1,,,,
1783817526,2026-07-11 20:52:06,GIL,BBO,11,1,42,1948,,,,
1783817528,2026-07-11 20:52:08,BIN,BBO,73,500,88,1,,,,
1783817528,2026-07-11 20:52:08,BIN,BBO,73,500,83,500,,,,
1783817528,2026-07-11 20:52:08,BIN,BBO,74,503,83,500,,,,
1783817528,2026-07-11 20:52:08,GIL,BBO,17,500,42,1948,,,,
1783817528,2026-07-11 20:52:08,GIL,BBO,17,500,27,500,,,,
1783817599,2026-07-11 20:53:19,BIN,BBO,74,853,88,1,,,,
1783817599,2026-07-11 20:53:19,GIL,BBO,11,1,27,500,,,,
1783817600,2026-07-11 20:53:20,BIN,BBO,58,250,88,1,,,,
1783817600,2026-07-11 20:53:20,GIL,BBO,11,1,26,200,,,,
1783817601,2026-07-11 20:53:21,BIN,BBO,75,500,88,1,,,,
1783817601,2026-07-11 20:53:21,BIN,BBO,75,500,85,500,,,,
1783817601,2026-07-11 20:53:21,GIL,BBO,11,1,42,1748,,,,
1783817601,2026-07-11 20:53:21,GIL,BBO,11,1,27,200,,,,
1783817601,2026-07-11 20:53:21,GIL,BBO,15,500,27,200,,,,
1783817602,2026-07-11 20:53:22,GIL,BBO,15,500,42,1748,,,,
1783817602,2026-07-11 20:53:22,GIL,BBO,15,500,25,500,,,,
1783817751,2026-07-11 20:55:51,BIN,BBO,76,250,85,500,,,,
1783817768,2026-07-11 20:56:08,BIN,BBO,76,100,88,1,,,,
1783817768,2026-07-11 20:56:08,GIL,BBO,11,1,25,500,,,,
1783817768,2026-07-11 20:56:08,GIL,BBO,11,1,26,200,,,,
1783817770,2026-07-11 20:56:10,BIN,BBO,76,600,86,500,,,,
1783817770,2026-07-11 20:56:10,GIL,BBO,11,1,39,1748,,,,
1783817770,2026-07-11 20:56:10,GIL,BBO,14,500,39,1948,,,,
1783817770,2026-07-11 20:56:10,GIL,BBO,14,500,24,500,,,,
1783817963,2026-07-11 20:59:23,BIN,BBO,61,853,86,500,,,,
1783817963,2026-07-11 20:59:23,BIN,BBO,61,853,88,1,,,,
1783817963,2026-07-11 20:59:23,GIL,BBO,11,1,24,500,,,,
1783817963,2026-07-11 20:59:23,GIL,BBO,11,1,53,1948,,,,
1783817964,2026-07-11 20:59:24,BIN,BBO,47,753,88,1,,,,
1783817964,2026-07-11 20:59:24,BIN,BBO,62,100,88,1,,,,
1783817964,2026-07-11 20:59:24,BIN,BBO,75,500,88,1,,,,
1783817964,2026-07-11 20:59:24,BIN,BBO,75,500,85,500,,,,
1783817964,2026-07-11 20:59:24,GIL,BBO,15,500,53,1948,,,,
1783817964,2026-07-11 20:59:24,GIL,BBO,15,500,25,500,,,,
1783818023,2026-07-11 21:00:23,BIN,BBO,74,100,85,500,,,,
1783818023,2026-07-11 21:00:23,BIN,BBO,74,100,88,1,,,,
1783818023,2026-07-11 21:00:23,GIL,BBO,11,1,25,500,,,,
1783818023,2026-07-11 21:00:23,GIL,BBO,11,1,53,1948,,,,
1783818025,2026-07-11 21:00:25,BIN,BBO,76,500,88,1,,,,
1783818025,2026-07-11 21:00:25,BIN,BBO,76,500,86,500,,,,
1783818025,2026-07-11 21:00:25,GIL,BBO,14,500,53,1948,,,,
1783818025,2026-07-11 21:00:25,GIL,BBO,14,500,24,500,,,,
1783818525,2026-07-11 21:08:45,GIL,BBO,14,965,21,100,,,,
1783818528,2026-07-11 21:08:48,BIN,BBO,79,100,86,500,,,,
1783818954,2026-07-11 21:15:54,BIN,BBO,80,124,86,965,,,,
1783818954,2026-07-11 21:15:54,BIN,BBO,80,124,85,1483,,,,
1783818954,2026-07-11 21:15:54,GIL,BBO,14,500,20,495,,,,
1783819363,2026-07-11 21:22:43,GIL,BBO,14,500,21,120,,,,
1783819364,2026-07-11 21:22:44,GIL,BBO,14,500,23,514,,,,
1783819393,2026-07-11 21:23:13,BIN,BBO,79,125,85,1483,,,,
1783819393,2026-07-11 21:23:13,BIN,BBO,76,500,85,1483,,,,
1783819393,2026-07-11 21:23:13,BIN,BBO,77,129,85,1483,,,,
1783819432,2026-07-11 21:23:52,GIL,BBO,14,500,20,100,,,,
1783819432,2026-07-11 21:23:52,GIL,BBO,14,500,19,489,,,,
1783819434,2026-07-11 21:23:54,BIN,BBO,80,100,85,1483,,,,
1783819462,2026-07-11 21:24:22,BIN,BBO,81,122,85,1483,,,,
1783819770,2026-07-11 21:29:30,GIL,BBO,14,500,20,553,,,,
1783819770,2026-07-11 21:29:30,GIL,BBO,14,500,23,514,,,,
1783819770,2026-07-11 21:29:30,GIL,BBO,14,500,22,57,,,,
1783819800,2026-07-11 21:30:00,BIN,BBO,80,124,85,1483,,,,
1783819800,2026-07-11 21:30:00,BIN,BBO,76,500,85,1483,,,,
1783819800,2026-07-11 21:30:00,BIN,BBO,77,129,85,1483,,,,
1783819800,2026-07-11 21:30:00,GIL,BBO,14,500,23,514,,,,
1783819894,2026-07-11 21:31:34,GIL,BBO,14,500,19,100,,,,
1783819894,2026-07-11 21:31:34,GIL,BBO,14,500,18,483,,,,
1783819896,2026-07-11 21:31:36,BIN,BBO,81,100,85,1483,,,,
1783819924,2026-07-11 21:32:04,BIN,BBO,82,121,85,1483,,,,
1783820242,2026-07-11 21:37:22,GIL,BBO,14,500,19,38,,,,
1783820242,2026-07-11 21:37:22,GIL,BBO,14,500,23,514,,,,
1783820242,2026-07-11 21:37:22,GIL,BBO,14,500,22,57,,,,
1783820272,2026-07-11 21:37:52,BIN,BBO,81,122,85,1483,,,,
1783820272,2026-07-11 21:37:52,BIN,BBO,80,124,85,1483,,,,
1783820272,2026-07-11 21:37:52,BIN,BBO,76,500,85,1483,,,,
1783820272,2026-07-11 21:37:52,BIN,BBO,77,129,85,1483,,,,
1783820272,2026-07-11 21:37:52,GIL,BBO,14,500,23,514,,,,
1783820282,2026-07-11 21:38:02,GIL,BBO,14,500,18,100,,,,
1783820283,2026-07-11 21:38:03,BIN,BBO,82,100,85,1483,,,,
1783820768,2026-07-11 21:46:08,GIL,BBO,15,371,18,1653,,,,
1783820798,2026-07-11 21:46:38,GIL,BBO,14,854,18,1653,,,,
1783820860,2026-07-11 21:47:40,GIL,BBO,15,371,18,1653,,,,
1783826936,2026-07-11 23:28:56,BIN,BBO,81,14,85,1489,,,,
1783826966,2026-07-11 23:29:26,BIN,BBO,80,34,85,6,,,,
1783826966,2026-07-11 23:29:26,GIL,BBO,14,717,18,489,,,,
1783826967,2026-07-11 23:29:27,GIL,BBO,14,514,19,14,,,,
1783826967,2026-07-11 23:29:27,GIL,BBO,14,514,20,34,,,,
1783828357,2026-07-11 23:52:37,BIN,BBO,80,34,84,38,,,,
1783828358,2026-07-11 23:52:38,GIL,BBO,15,6,20,529,,,,
1783828358,2026-07-11 23:52:38,GIL,BBO,15,6,19,20,,,,
1783828388,2026-07-11 23:53:08,GIL,BBO,15,6,21,602,,,,
1783828388,2026-07-11 23:53:08,GIL,BBO,15,6,20,34,,,,
1783828418,2026-07-11 23:53:38,GIL,BBO,15,6,19,20,,,,
1783828634,2026-07-11 23:57:14,BIN,BBO,81,14,84,38,,,,
1783828647,2026-07-11 23:57:27,GIL,BBO,15,6,18,6,,,,
1783828653,2026-07-11 23:57:33,BIN,BBO,81,34,85,1573,,,,
1783828677,2026-07-11 23:57:57,GIL,BBO,14,514,18,489,,,,
1783829136,2026-07-12 00:05:36,BIN,BBO,82,6,85,6,,,,
1783829770,2026-07-12 00:16:10,BIN,BBO,81,20,85,6,,,,
1783829771,2026-07-12 00:16:11,GIL,BBO,15,7,18,6,,,,
1783829771,2026-07-12 00:16:11,GIL,BBO,15,7,19,20,,,,
1783829772,2026-07-12 00:16:12,BIN,BBO,80,36,85,6,,,,
1783829773,2026-07-12 00:16:13,GIL,BBO,15,7,20,36,,,,
1783832547,2026-07-12 01:02:27,GIL,BBO,17,1,20,7,,,,
1783832547,2026-07-12 01:02:27,GIL,BBO,17,1,21,50,,,,
1783833878,2026-07-12 01:24:38,BIN,BBO,80,28,84,38,,,,
1783833904,2026-07-12 01:25:04,GIL,BBO,17,7,20,185,,,,
1783833905,2026-07-12 01:25:05,BIN,BBO,81,4,84,58,,,,
1783833908,2026-07-12 01:25:08,GIL,BBO,17,7,19,489,,,,
1783833932,2026-07-12 01:25:32,GIL,BBO,15,7,19,496,,,,
1783833947,2026-07-12 01:25:47,GIL,BBO,17,1,19,496,,,,
1783833978,2026-07-12 01:26:18,GIL,BBO,16,22,19,496,,,,
1783833982,2026-07-12 01:26:22,GIL,BBO,15,22,19,496,,,,
1783833993,2026-07-12 01:26:33,GIL,BBO,17,1,19,496,,,,
1783834039,2026-07-12 01:27:19,GIL,BBO,15,43,19,496,,,,
1783834055,2026-07-12 01:27:35,GIL,BBO,17,1,19,496,,,,
1783834101,2026-07-12 01:28:21,GIL,BBO,15,43,19,496,,,,
1783834116,2026-07-12 01:28:36,GIL,BBO,17,1,19,496,,,,
1783834162,2026-07-12 01:29:22,GIL,BBO,15,43,19,496,,,,
1783834172,2026-07-12 01:29:32,BIN,BBO,81,11,85,1497,,,,
1783834178,2026-07-12 01:29:38,GIL,BBO,17,1,19,496,,,,
1783834209,2026-07-12 01:30:09,BIN,BBO,81,11,86,616,,,,
1783834209,2026-07-12 01:30:09,BIN,BBO,81,11,85,7,,,,
1783834209,2026-07-12 01:30:09,GIL,BBO,15,414,19,496,,,,
1783834224,2026-07-12 01:30:24,GIL,BBO,17,1,19,496,,,,
1783834255,2026-07-12 01:30:55,BIN,BBO,81,11,86,616,,,,
1783834255,2026-07-12 01:30:55,BIN,BBO,81,11,85,7,,,,
1783834255,2026-07-12 01:30:55,GIL,BBO,15,28,19,496,,,,
1783834257,2026-07-12 01:30:57,BIN,BBO,82,22,85,7,,,,
1783834257,2026-07-12 01:30:57,GIL,BBO,14,609,19,496,,,,
1783834257,2026-07-12 01:30:57,GIL,BBO,14,609,17,301,,,,
1783834343,2026-07-12 01:32:23,GIL,BBO,15,371,17,308,,,,
1783834373,2026-07-12 01:32:53,GIL,BBO,14,1132,17,308,,,,
1783834404,2026-07-12 01:33:24,GIL,BBO,15,371,17,308,,,,
1783834434,2026-07-12 01:33:54,GIL,BBO,14,1132,17,308,,,,
1783834466,2026-07-12 01:34:26,GIL,BBO,15,371,17,308,,,,
1783834496,2026-07-12 01:34:56,GIL,BBO,14,1132,17,308,,,,
1783834526,2026-07-12 01:35:26,BIN,BBO,82,143,86,2915,,,,
1783834556,2026-07-12 01:35:56,BIN,BBO,82,143,85,1483,,,,
1783834556,2026-07-12 01:35:56,GIL,BBO,15,371,17,308,,,,
1783835069,2026-07-12 01:44:29,BIN,BBO,81,133,85,1490,,,,
1783835139,2026-07-12 01:45:39,BIN,BBO,82,100,85,1490,,,,
1783838239,2026-07-12 02:37:19,BIN,PRINT,,,,,85,11.64,yes,bff12346-4317-5da6-9f11-3ed9e912a602
1783840576,2026-07-12 03:16:16,BIN,PRINT,,,,,85,40.74,yes,b5e97557-21a3-44ea-d940-f2fdf2c315f6
1783840577,2026-07-12 03:16:17,GIL,BBO,15,413,16,39,,,,
1783852463,2026-07-12 06:34:23,BIN,PRINT,,,,,85,20.0,yes,3187c252-ef67-69fe-2bdc-04abe9e2a1ba
1783853310,2026-07-12 06:48:30,BIN,BBO,83,106,85,1878,,,,
1783853547,2026-07-12 06:52:27,BIN,BBO,82,535,85,1878,,,,
1783853568,2026-07-12 06:52:48,BIN,BBO,83,65,85,1878,,,,
1783855800,2026-07-12 07:30:00,GIL,BBO,15,100,17,578,,,,
1783855828,2026-07-12 07:30:28,GIL,BBO,15,398,16,54,,,,
1783859000,2026-07-12 08:23:20,GIL,PRINT,,,,,16,29.51,yes,480cc977-3d69-6bdb-a624-3ddb64ba0fd0
1783859136,2026-07-12 08:25:36,BIN,PRINT,,,,,85,1.16,yes,06e3f722-46d6-6f25-6d4e-3fc1fd9d362e
1783859252,2026-07-12 08:27:32,GIL,PRINT,,,,,16,17.7,yes,8396ca6f-2a99-5f87-34bb-ec609e09b048
1783860054,2026-07-12 08:40:54,GIL,BBO,15,430,17,563,,,,
1783860054,2026-07-12 08:40:54,GIL,PRINT,,,,,16,6.79,yes,f72869f9-5c39-63df-954a-c289250599a8
1783860054,2026-07-12 08:40:54,GIL,PRINT,,,,,16,7.0,yes,a83cf2a1-ae30-67f0-9ed0-3e0e314b619f
1783860054,2026-07-12 08:40:54,GIL,PRINT,,,,,17,41.47,yes,35ff0ee3-aa22-677d-a7b6-a1f979122c4f
1783860379,2026-07-12 08:46:19,BIN,PRINT,,,,,85,1.16,yes,b201dac7-ae16-6a96-125f-3686a8f610de
1783860600,2026-07-12 08:50:00,BIN,BBO,83,12,86,1203,,,,
1783860630,2026-07-12 08:50:30,BIN,BBO,83,12,85,1469,,,,
1783860656,2026-07-12 08:50:56,GIL,BBO,15,459,16,20,,,,
1783860656,2026-07-12 08:50:56,BIN,PRINT,,,,,85,8.14,yes,441d9ab3-70a7-7cab-94fd-1b6d2424ef27
1783861200,2026-07-12 09:00:00,BIN,BBO,83,263,86,2449,,,,
1783861200,2026-07-12 09:00:00,GIL,BBO,15,449,17,517,,,,
1783861235,2026-07-12 09:00:35,BIN,BBO,83,263,85,1460,,,,
1783861235,2026-07-12 09:00:35,GIL,BBO,15,441,16,20,,,,
1783861800,2026-07-12 09:10:00,BIN,BBO,83,5,86,2450,,,,
1783861800,2026-07-12 09:10:00,GIL,BBO,15,441,17,361,,,,
1783861850,2026-07-12 09:10:50,BIN,BBO,83,5,85,1460,,,,
1783861851,2026-07-12 09:10:51,GIL,BBO,15,441,16,20,,,,
1783862301,2026-07-12 09:18:21,GIL,PRINT,,,,,16,6.13,yes,e71c1771-0083-4b11-31c0-db61d07fe8c6
1783862407,2026-07-12 09:20:07,BIN,BBO,83,5,86,5534,,,,
1783862407,2026-07-12 09:20:07,GIL,BBO,15,441,17,1762,,,,
1783862413,2026-07-12 09:20:13,BIN,BBO,83,5,85,1200,,,,
1783862413,2026-07-12 09:20:13,GIL,BBO,15,93,16,1200,,,,
1783862414,2026-07-12 09:20:14,BIN,BBO,83,5,86,1893,,,,
1783862414,2026-07-12 09:20:14,GIL,BBO,15,5,17,359,,,,
1783862414,2026-07-12 09:20:14,GIL,BBO,15,93,16,1200,,,,
1783862415,2026-07-12 09:20:15,GIL,BBO,15,5,17,1459,,,,
1783862416,2026-07-12 09:20:16,BIN,BBO,83,5,85,100,,,,
1783862780,2026-07-12 09:26:20,BIN,PRINT,,,,,85,2.91,yes,153033e4-79fd-43c5-16a3-26a0ba60c36d
1783863108,2026-07-12 09:31:48,BIN,PRINT,,,,,85,4.0,yes,5b5ccfe1-a7df-4054-32e2-c686c5c8ba0a
1783863789,2026-07-12 09:43:09,GIL,PRINT,,,,,15,5.0,no,e07f90b4-fc61-531b-0e17-634244df017b
1783863789,2026-07-12 09:43:09,GIL,PRINT,,,,,15,62.0,no,429b3017-f293-5ae4-360e-f6e168618ae6
1783863790,2026-07-12 09:43:10,GIL,PRINT,,,,,15,67.0,no,df672150-9acf-7ae8-63bb-66ef55a59db6
1783863791,2026-07-12 09:43:11,GIL,BBO,15,292,16,62,,,,
1783863791,2026-07-12 09:43:11,BIN,PRINT,,,,,85,5.0,yes,b5ba5c3e-8ae2-6b87-838a-5168cfddc180
1783863791,2026-07-12 09:43:11,BIN,PRINT,,,,,85,50.0,yes,a2546223-417e-67d7-b5c0-46c31575ff41
1783863791,2026-07-12 09:43:11,GIL,PRINT,,,,,15,60.0,no,ce6e7878-e986-716f-3697-4a4c2f4b7bdb
1783863791,2026-07-12 09:43:11,GIL,PRINT,,,,,15,67.0,no,0fb1fa3f-fb7b-6358-05ba-3b3d1165b756
1783863792,2026-07-12 09:43:12,BIN,BBO,84,28,85,2716,,,,
1783863792,2026-07-12 09:43:12,GIL,BBO,14,6361,16,1381,,,,
1783863792,2026-07-12 09:43:12,GIL,BBO,15,100,16,181,,,,
1783863797,2026-07-12 09:43:17,BIN,BBO,84,283,86,1817,,,,
1783863797,2026-07-12 09:43:17,GIL,BBO,14,1861,16,713,,,,
1783863800,2026-07-12 09:43:20,BIN,BBO,84,283,85,1200,,,,
1783863800,2026-07-12 09:43:20,BIN,BBO,84,283,86,2975,,,,
1783863800,2026-07-12 09:43:20,GIL,BBO,15,1200,16,1955,,,,
1783863802,2026-07-12 09:43:22,GIL,BBO,14,1861,16,1913,,,,
1783863803,2026-07-12 09:43:23,BIN,BBO,84,1483,85,1200,,,,
1783863807,2026-07-12 09:43:27,BIN,BBO,84,1483,86,1917,,,,
1783863807,2026-07-12 09:43:27,GIL,BBO,15,1200,16,1913,,,,
1783863812,2026-07-12 09:43:32,BIN,BBO,84,1483,85,1200,,,,
1783863812,2026-07-12 09:43:32,GIL,BBO,14,1861,16,1913,,,,
1783863815,2026-07-12 09:43:35,BIN,BBO,84,1483,86,2917,,,,
1783863815,2026-07-12 09:43:35,GIL,BBO,15,1200,16,1913,,,,
1783863816,2026-07-12 09:43:36,GIL,BBO,14,1361,16,1913,,,,
1783863825,2026-07-12 09:43:45,BIN,BBO,85,43,86,1475,,,,
1783863825,2026-07-12 09:43:45,GIL,BBO,14,1361,15,173,,,,
1783864045,2026-07-12 09:47:25,GIL,PRINT,,,,,15,1.88,yes,16f7bc97-a0ee-4fc4-7a78-92672f5d39c3
1783864081,2026-07-12 09:48:01,GIL,PRINT,,,,,15,62.92,yes,1dd6b5d3-bbaa-7bf4-cb21-0557ebe3d3a7
1783864200,2026-07-12 09:50:00,BIN,BBO,85,59,87,208,,,,
1783864200,2026-07-12 09:50:00,BIN,BBO,85,59,88,1,,,,
