exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,80.6,82.1,32.8,-10.16,-0.347,67,54
+4c,76.1,77.6,32.8,-12.71,-0.437,67,51
+5c,74.6,76.1,32.9,-11.99,-0.416,67,50
+6c,74.6,76.1,32.9,-9.67,-0.34,67,50
+7c,74.6,76.1,32.9,-7.36,-0.265,67,50
+8c,71.6,73.1,32.9,-8.75,-0.316,67,48
+9c,68.7,70.1,32.9,-10.34,-0.372,67,46
+10c,65.7,67.2,33.0,-12.13,-0.431,67,44
+11c,64.2,65.7,33.0,-12.11,-0.428,67,43
+12c,62.7,64.2,33.0,-12.17,-0.43,67,42
+13c,61.2,62.7,33.0,-12.31,-0.437,67,41
+14c,61.2,62.7,33.0,-10.41,-0.375,67,41
+15c,58.2,59.7,33.1,-12.86,-0.461,67,39
+16c,55.2,56.7,33.1,-15.21,-0.537,67,37
+17c,55.2,56.7,33.1,-13.48,-0.48,67,37
+18c,53.7,55.2,33.1,-14.05,-0.501,67,36
+19c,52.2,53.7,33.2,-14.71,-0.526,67,35
+20c,52.2,53.7,33.2,-13.07,-0.472,67,35
+21c,49.3,50.7,33.2,-16.4,-0.578,67,33
+22c,47.8,49.3,33.2,-17.37,-0.609,67,32
+23c,46.3,47.8,33.2,-18.43,-0.643,67,31
+24c,46.3,47.8,33.2,-16.98,-0.596,67,31
+25c,43.3,44.8,33.3,-20.77,-0.725,67,29
+26c,43.3,44.8,33.3,-19.4,-0.681,67,29
+27c,41.8,43.3,33.3,-21.28,-0.748,67,28
+28c,41.8,43.3,33.3,-19.98,-0.705,67,28
+29c,40.3,41.8,33.3,-21.53,-0.755,67,27
+30c,38.8,40.3,33.3,-23.12,-0.81,67,26
hold99,25.4,26.9,33.5,-19.27,-0.699,67,17
