exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,83.3,83.3,58.6,-4.04,-0.315,24,20
+4c,83.3,83.3,58.6,-2.54,-0.227,24,20
+5c,83.3,83.3,58.6,-1.03,-0.14,24,20
+6c,83.3,83.3,58.6,0.48,-0.052,24,20
+7c,83.3,83.3,59.0,2.15,0.052,24,20
+8c,75.0,75.0,59.5,-6.02,-0.508,24,18
+9c,75.0,75.0,59.5,-4.66,-0.429,24,18
+10c,70.8,70.8,60.5,-7.98,-0.654,24,17
+11c,70.8,70.8,60.9,-6.45,-0.552,24,17
+12c,66.7,66.7,61.4,-10.17,-0.808,24,16
+13c,62.5,62.5,62.4,-13.77,-1.044,24,15
+14c,62.5,62.5,62.4,-12.58,-0.971,24,15
+15c,58.3,58.3,62.4,-16.95,-1.279,24,14
+16c,58.3,58.3,62.4,-15.84,-1.212,24,14
+17c,58.3,58.3,62.4,-14.74,-1.146,24,14
+18c,58.3,58.3,62.4,-13.64,-1.079,24,14
+19c,54.2,54.2,62.4,-18.46,-1.419,24,13
+20c,54.2,54.2,62.4,-17.45,-1.358,24,13
+21c,54.2,54.2,62.4,-16.44,-1.298,24,13
+22c,54.2,54.2,62.4,-15.42,-1.238,24,13
+23c,54.2,54.2,62.4,-14.41,-1.177,24,13
+24c,54.2,54.2,62.4,-13.4,-1.117,24,13
+25c,54.2,54.2,62.4,-12.39,-1.056,24,13
+26c,50.0,50.0,62.8,-17.51,-1.377,24,12
+27c,50.0,50.0,62.8,-16.57,-1.321,24,12
+28c,50.0,50.0,62.8,-15.64,-1.265,24,12
+29c,50.0,50.0,62.8,-14.7,-1.208,24,12
+30c,50.0,50.0,62.8,-13.76,-1.152,24,12
hold99,37.5,37.5,64.2,-21.18,-1.631,24,9
