exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,78.9,78.9,13.8,-1.65,-0.097,19,15
+4c,73.7,73.7,13.9,-2.19,-0.105,19,14
+5c,68.4,68.4,14.2,-3.32,-0.139,19,13
+6c,63.2,63.2,14.4,-5.25,-0.184,19,12
+7c,57.9,57.9,14.4,-8.56,-0.247,19,11
+8c,57.9,57.9,14.4,-3.72,-0.184,19,11
+9c,57.9,57.9,14.6,1.5,-0.1,19,11
+10c,57.9,57.9,14.6,6.4,-0.034,19,11
+11c,57.9,57.9,14.6,11.3,0.032,19,11
+12c,57.9,57.9,14.6,16.2,0.097,19,11
+13c,57.9,57.9,14.6,21.1,0.163,19,11
+14c,57.9,57.9,14.6,26.0,0.229,19,11
+15c,52.6,52.6,14.8,19.57,0.126,19,10
+16c,52.6,52.6,14.8,24.06,0.187,19,10
+17c,52.6,52.6,14.8,28.56,0.247,19,10
+18c,52.6,52.6,14.8,33.05,0.308,19,10
+19c,52.6,52.6,15.0,38.72,0.416,19,10
+20c,52.6,52.6,15.0,43.29,0.479,19,10
+21c,52.6,52.6,15.0,47.85,0.542,19,10
+22c,42.1,42.1,15.0,19.61,0.1,19,8
+23c,42.1,42.1,15.0,23.15,0.147,19,8
+24c,42.1,42.1,15.0,26.69,0.195,19,8
+25c,36.8,36.8,15.0,12.4,-0.034,19,7
+26c,36.8,36.8,15.2,17.1,0.071,19,7
+27c,36.8,36.8,15.2,20.2,0.113,19,7
+28c,36.8,36.8,15.2,23.3,0.155,19,7
+29c,36.8,36.8,15.2,26.4,0.197,19,7
+30c,36.8,36.8,15.2,29.49,0.239,19,7
hold99,10.5,15.8,15.9,11.67,-0.016,19,2
