exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,81.2,81.2,34.2,-5.54,-0.281,16,13
+4c,75.0,75.0,34.2,-3.96,-0.228,16,12
+5c,75.0,75.0,34.2,-1.61,-0.15,16,12
+6c,75.0,75.0,35.2,1.05,-0.041,16,12
+7c,75.0,75.0,35.2,3.47,0.044,16,12
+8c,75.0,75.0,35.7,6.13,0.15,16,12
+9c,68.8,68.8,36.2,0.64,-0.075,16,11
+10c,68.8,68.8,36.2,2.92,0.006,16,11
+11c,62.5,62.5,36.6,-3.21,-0.228,16,10
+12c,56.2,56.2,37.1,-9.65,-0.484,16,9
+13c,56.2,56.2,37.1,-7.77,-0.416,16,9
+14c,56.2,56.2,37.1,-5.88,-0.347,16,9
+15c,56.2,56.2,37.1,-3.99,-0.278,16,9
+16c,56.2,56.2,37.1,-2.1,-0.209,16,9
+17c,56.2,56.2,37.6,0.38,-0.091,16,9
+18c,56.2,56.2,37.6,2.31,-0.019,16,9
+19c,56.2,56.2,37.6,4.23,0.053,16,9
+20c,50.0,50.0,38.1,-3.99,-0.247,16,8
+21c,50.0,50.0,38.1,-2.26,-0.181,16,8
+22c,50.0,50.0,38.1,-0.53,-0.116,16,8
+23c,50.0,50.0,38.5,2.16,0.019,16,8
+24c,50.0,50.0,38.5,3.94,0.087,16,8
+25c,50.0,50.0,38.5,5.71,0.156,16,8
+26c,50.0,50.0,38.5,7.49,0.225,16,8
+27c,50.0,50.0,38.5,9.27,0.294,16,8
+28c,50.0,50.0,38.5,11.05,0.362,16,8
+29c,50.0,50.0,38.5,12.82,0.431,16,8
+30c,43.8,43.8,38.5,1.31,-0.025,16,7
hold99,25.0,25.0,39.5,4.08,0.147,16,4
