exit_target,wr_pct,win_rate_pct,avg_cost_basis_c,roi_pct,ev_per_trade_dollars,n_trades,n_sold
+3c,76.5,76.5,76.4,-8.21,-0.694,17,13
+4c,76.5,76.5,76.4,-7.07,-0.606,17,13
+5c,76.5,76.5,78.1,-5.87,-0.5,17,13
+6c,76.5,76.5,78.1,-4.72,-0.409,17,13
+7c,76.5,76.5,78.1,-3.58,-0.318,17,13
+8c,76.5,76.5,79.8,-2.36,-0.2,17,13
+9c,76.5,76.5,81.5,-1.14,-0.076,17,13
+10c,76.5,76.5,83.2,0.09,0.053,17,13
+11c,76.5,76.5,83.2,1.25,0.153,17,13
+12c,76.5,76.5,83.2,2.42,0.253,17,13
+13c,76.5,76.5,83.2,3.58,0.353,17,13
+14c,76.5,76.5,83.2,4.74,0.453,17,13
+15c,76.5,76.5,83.2,5.9,0.553,17,13
+16c,76.5,76.5,83.2,7.06,0.653,17,13
+17c,76.5,76.5,83.2,8.22,0.753,17,13
+18c,76.5,76.5,83.2,9.39,0.853,17,13
+19c,76.5,76.5,83.2,10.55,0.953,17,13
+20c,76.5,76.5,83.2,11.71,1.053,17,13
+21c,76.5,76.5,83.2,12.87,1.153,17,13
+22c,76.5,76.5,83.2,14.03,1.253,17,13
+23c,76.5,76.5,83.2,15.19,1.353,17,13
+24c,76.5,76.5,83.2,16.35,1.453,17,13
+25c,76.5,76.5,83.2,17.52,1.553,17,13
+26c,76.5,76.5,83.2,18.68,1.653,17,13
+27c,76.5,76.5,83.2,19.84,1.753,17,13
+28c,76.5,76.5,83.2,21.0,1.853,17,13
+29c,76.5,76.5,83.2,22.16,1.953,17,13
+30c,76.5,76.5,83.2,23.32,2.053,17,13
hold99,76.5,76.5,83.2,26.76,2.371,17,13
